ID,smina_affinity
CHEMBL521155_diffdock_1,3.66379
CHEMBL521155_diffdock_2,-4.17116
CHEMBL521155_diffdock_3,3.02558
CHEMBL521155_diffdock_4,-3.90986
CHEMBL521155_diffdock_5,4.70408
CHEMBL521155_diffdock_6,6.76786
CHEMBL521155_diffdock_7,-2.10438
CHEMBL521155_diffdock_8,-0.56710
CHEMBL521155_diffdock_9,2.35702
CHEMBL521155_diffdock_10,37.16003
CHEMBL540701_diffdock_1,8.14040
CHEMBL540701_diffdock_2,10.98587
CHEMBL540701_diffdock_3,16.46183
CHEMBL540701_diffdock_4,22.61224
CHEMBL540701_diffdock_5,24.66054
CHEMBL540701_diffdock_6,36.50733
CHEMBL540701_diffdock_7,7.44763
CHEMBL540701_diffdock_8,23.74215
CHEMBL540701_diffdock_9,23.55550
CHEMBL540701_diffdock_10,26.18616
CHEMBL4435632_diffdock_1,-2.02771
CHEMBL4435632_diffdock_2,-5.65830
CHEMBL4435632_diffdock_3,-5.39851
CHEMBL4435632_diffdock_4,-2.21825
CHEMBL4435632_diffdock_5,-5.09509
CHEMBL4435632_diffdock_6,7.49377
CHEMBL4435632_diffdock_7,-2.98661
CHEMBL4435632_diffdock_8,2.37194
CHEMBL4435632_diffdock_9,18.12992
CHEMBL4435632_diffdock_10,14.31132
CHEMBL92174_diffdock_1,3.15004
CHEMBL92174_diffdock_2,4.56052
CHEMBL92174_diffdock_3,8.99669
CHEMBL92174_diffdock_4,17.91571
CHEMBL92174_diffdock_5,20.62244
CHEMBL92174_diffdock_6,29.80786
CHEMBL92174_diffdock_7,27.49158
CHEMBL92174_diffdock_8,35.44618
CHEMBL92174_diffdock_9,37.20993
CHEMBL92174_diffdock_10,39.23627
CHEMBL485065_diffdock_1,4.09022
CHEMBL485065_diffdock_2,5.27778
CHEMBL485065_diffdock_3,2.11510
CHEMBL485065_diffdock_4,9.65131
CHEMBL485065_diffdock_5,1.38800
CHEMBL485065_diffdock_6,39.21170
CHEMBL485065_diffdock_7,17.47673
CHEMBL485065_diffdock_8,13.13398
CHEMBL485065_diffdock_9,45.30318
CHEMBL485065_diffdock_10,40.92314
CHEMBL3746557_diffdock_1,34.23008
CHEMBL3746557_diffdock_2,24.72991
CHEMBL3746557_diffdock_3,34.22638
CHEMBL3746557_diffdock_4,81.13105
CHEMBL3746557_diffdock_5,20.23705
CHEMBL3746557_diffdock_6,45.60972
CHEMBL3746557_diffdock_7,28.83115
CHEMBL3746557_diffdock_8,25.66634
CHEMBL3746557_diffdock_9,64.02832
CHEMBL3746557_diffdock_10,32.27549
CHEMBL3814211_diffdock_1,12.36389
CHEMBL3814211_diffdock_2,15.02520
CHEMBL3814211_diffdock_3,9.47374
CHEMBL3814211_diffdock_4,15.33833
CHEMBL3814211_diffdock_5,16.49979
CHEMBL3814211_diffdock_6,10.85152
CHEMBL3814211_diffdock_7,13.12842
CHEMBL3814211_diffdock_8,15.78782
CHEMBL3814211_diffdock_9,12.55525
CHEMBL3814211_diffdock_10,26.83462
CHEMBL4088718_diffdock_1,13.68559
CHEMBL4088718_diffdock_2,14.07262
CHEMBL4088718_diffdock_3,14.61217
CHEMBL4088718_diffdock_4,16.94643
CHEMBL4088718_diffdock_5,15.83666
CHEMBL4088718_diffdock_6,17.34716
CHEMBL4088718_diffdock_7,18.93477
CHEMBL4088718_diffdock_8,36.63290
CHEMBL4088718_diffdock_9,39.47375
CHEMBL4088718_diffdock_10,12.79077
CHEMBL3671582_diffdock_1,7.86748
CHEMBL3671582_diffdock_2,7.25085
CHEMBL3671582_diffdock_3,5.32448
CHEMBL3671582_diffdock_4,6.62996
CHEMBL3671582_diffdock_5,6.89264
CHEMBL3671582_diffdock_6,23.92246
CHEMBL3671582_diffdock_7,15.81012
CHEMBL3671582_diffdock_8,0.00000
CHEMBL3671582_diffdock_9,0.00000
CHEMBL3671582_diffdock_10,0.00000
CHEMBL367625_diffdock_1,-4.20817
CHEMBL367625_diffdock_2,-6.55344
CHEMBL367625_diffdock_3,-4.86765
CHEMBL367625_diffdock_4,-1.32050
CHEMBL367625_diffdock_5,-5.19732
CHEMBL367625_diffdock_6,-6.40208
CHEMBL367625_diffdock_7,-6.50319
CHEMBL367625_diffdock_8,3.24098
CHEMBL367625_diffdock_9,8.38578
CHEMBL5192038_diffdock_1,61.32238
CHEMBL5192038_diffdock_2,36.36182
CHEMBL5192038_diffdock_3,43.69592
CHEMBL5192038_diffdock_4,43.45614
CHEMBL5192038_diffdock_5,58.62656
CHEMBL5192038_diffdock_6,64.87247
CHEMBL5192038_diffdock_7,59.14949
CHEMBL5192038_diffdock_8,79.58102
CHEMBL5192038_diffdock_9,66.83762
CHEMBL5192038_diffdock_10,35.20451
CHEMBL3087206_diffdock_1,11.58248
CHEMBL3087206_diffdock_2,21.65490
CHEMBL3087206_diffdock_3,18.52911
CHEMBL3087206_diffdock_4,26.96389
CHEMBL3087206_diffdock_5,42.42534
CHEMBL3087206_diffdock_6,43.30005
CHEMBL3087206_diffdock_7,27.70974
CHEMBL3087206_diffdock_8,54.09294
CHEMBL3087206_diffdock_9,29.67197
CHEMBL3087206_diffdock_10,33.07003
CHEMBL1645466_diffdock_1,15.66499
CHEMBL1645466_diffdock_2,22.45759
CHEMBL1645466_diffdock_3,24.86054
CHEMBL1645466_diffdock_4,15.60067
CHEMBL1645466_diffdock_5,18.93764
CHEMBL1645466_diffdock_6,13.00991
CHEMBL1645466_diffdock_7,14.77643
CHEMBL1645466_diffdock_8,20.49279
CHEMBL1645466_diffdock_9,31.09808
CHEMBL1645466_diffdock_10,41.67891
CHEMBL450319_diffdock_1,-3.25061
CHEMBL450319_diffdock_2,0.78029
CHEMBL450319_diffdock_3,3.21364
CHEMBL450319_diffdock_4,-1.16096
CHEMBL450319_diffdock_5,2.23583
CHEMBL450319_diffdock_6,3.52016
CHEMBL450319_diffdock_7,22.00027
CHEMBL450319_diffdock_8,24.92653
CHEMBL450319_diffdock_9,10.72587
CHEMBL450319_diffdock_10,0.00000
CHEMBL3758875_diffdock_1,14.39890
CHEMBL3758875_diffdock_2,18.61457
CHEMBL3758875_diffdock_3,25.85785
CHEMBL3758875_diffdock_4,18.85422
CHEMBL3758875_diffdock_5,28.66223
CHEMBL3758875_diffdock_6,19.41775
CHEMBL3758875_diffdock_7,19.87113
CHEMBL3758875_diffdock_8,21.67562
CHEMBL3758875_diffdock_9,41.34946
CHEMBL3758875_diffdock_10,21.90429
CHEMBL5169900_diffdock_1,22.08511
CHEMBL5169900_diffdock_2,17.63755
CHEMBL5169900_diffdock_3,12.51720
CHEMBL5169900_diffdock_4,16.73376
CHEMBL5169900_diffdock_5,15.29362
CHEMBL5169900_diffdock_6,21.39322
CHEMBL5169900_diffdock_7,8.19748
CHEMBL5169900_diffdock_8,60.67221
CHEMBL5169900_diffdock_9,27.65478
CHEMBL5169900_diffdock_10,0.00000
CHEMBL3676384_diffdock_1,10.91448
CHEMBL3676384_diffdock_2,6.39789
CHEMBL3676384_diffdock_3,7.95595
CHEMBL3676384_diffdock_4,13.43945
CHEMBL3676384_diffdock_5,9.57854
CHEMBL3676384_diffdock_6,14.90513
CHEMBL3676384_diffdock_7,12.98159
CHEMBL3676384_diffdock_8,12.38403
CHEMBL3676384_diffdock_9,21.90539
CHEMBL3676384_diffdock_10,16.85262
CHEMBL14932_diffdock_1,-1.02778
CHEMBL14932_diffdock_2,-6.13990
CHEMBL14932_diffdock_3,6.16063
CHEMBL14932_diffdock_4,13.93275
CHEMBL14932_diffdock_5,22.61918
CHEMBL14932_diffdock_6,-0.87534
CHEMBL14932_diffdock_7,16.52968
CHEMBL14932_diffdock_8,-0.49491
CHEMBL14932_diffdock_9,21.01320
CHEMBL14932_diffdock_10,8.57012
CHEMBL3436355_diffdock_1,23.52069
CHEMBL3436355_diffdock_2,23.38847
CHEMBL3436355_diffdock_3,43.97354
CHEMBL3436355_diffdock_4,26.51535
CHEMBL3436355_diffdock_5,31.28432
CHEMBL3436355_diffdock_6,30.08562
CHEMBL3436355_diffdock_7,26.48672
