ID,CNNscore,CNNaffinity,smina_affinity,ad4,LinF9,RTMScore,Vinardo,SCORCH,HYDE,CHEMPLP,rfscore_v1,rfscore_v2,rfscore_v3,vina_hydrophobic,vina_intra_hydrophobic
CHEMBL521155_diffdock_1,0.3620489836,5.5416936874,3.66379,54.15112,-2.83971,10.84782612628861,5.83006,0.00984,10847.529283,-50.248,7.556633808136301,7.297412225829728,6.825400105838607,7.471900687902989,2.0
CHEMBL521155_diffdock_2,0.6207889318,5.9012594223,-4.17116,-20.69712,-5.51243,6.298432708822798,-2.90117,0.00647,16089.981339,-50.3708,7.638369541181036,7.42349985298035,7.013410573371072,7.414102153953487,2.0
CHEMBL521155_diffdock_3,0.4064498544,5.6528692245,3.02558,46.13861,-3.17321,8.625862950567962,5.11405,0.01061,10869.811055,-50.937,7.5706553694638625,7.293563157287159,6.781286991119991,4.056626954268065,2.0
CHEMBL521155_diffdock_4,0.6198640466,6.0131978989,-3.90986,-21.10271,-5.37146,8.777705028881575,-2.07619,0.00794,4927514.151049,-58.6264,7.566990678987673,7.352969197691196,6.861035471694972,4.799627507770567,2.0
CHEMBL521155_diffdock_5,0.2558967173,5.5962018967,4.70408,54.80195,-2.55783,10.648394385570391,6.70526,0.00571,2602.022608,-43.8082,7.561275488511482,7.25243584343434,6.765033798479298,3.143075498458788,2.0
CHEMBL521155_diffdock_6,0.0646141693,5.0879020691,6.76786,84.62009,-2.15065,11.723290528072278,7.768,0.0053,10850.407002,-53.4812,7.533342040459534,7.475619642857147,6.827109291985791,3.5174471246496672,2.0
CHEMBL521155_diffdock_7,0.1287053078,5.4327945709,-2.10438,6.84625,-5.00237,11.670236753955328,-1.7071,0.02565,850820.779944,-56.0944,7.361402608280603,7.091763362914862,6.712981122655129,6.990466657638984,2.0
CHEMBL521155_diffdock_8,0.1386910379,5.4179935455,-0.5671,10.94176,-4.29517,8.135821752749518,0.41153,0.04759,271003.591033,-57.2189,7.500511267010761,7.14700092857143,6.692955944444451,4.355359495191578,2.0
CHEMBL521155_diffdock_9,0.0775551051,5.1949920654,2.35702,22.28289,-3.25136,9.910061101428392,3.12814,0.05888,267049.092957,-58.887,7.498285570041063,7.041178202242204,6.7102326486291535,3.552058383949431,2.0
CHEMBL521155_diffdock_10,0.0938896686,4.9852867126,37.16003,210.6515,7.49585,7.153944749079718,40.37032,0.0005,280500317.417311,-41.7237,7.882878503607504,7.823681914196906,7.660069363358866,20.415580992438898,2.0
CHEMBL540701_diffdock_1,0.67012012,6.7001829147,8.1404,104.02877,-1.71642,15.697361917583532,11.97999,0.00242,2771.279465,261.143,7.72652663147963,7.708151585137093,7.281325206127203,52.53409476074552,13.3268527896269
CHEMBL540701_diffdock_2,0.5046042204,6.4903783798,10.98587,166.08896,-0.7822,12.102590922173428,16.10778,0.00373,780763.033749,185.65,7.645895817626815,7.633534622655127,7.266339567377065,55.935426923806254,15.74984526908644
CHEMBL540701_diffdock_3,0.602248013,6.5322437286,16.46183,161.3403,1.70255,15.652918138538592,21.9187,0.00068,1805824.966668,271.89,7.640004510989008,7.682862905483416,7.189713649628147,52.4373368791278,12.01566350085834
CHEMBL540701_diffdock_4,0.4832122028,6.4198617935,22.61224,215.90866,4.52641,15.818072344169106,30.5268,0.00076,1514259.008062,-69.5417,7.673034518925517,7.614650707070716,7.192246773004775,56.41250444507388,11.987436551463752
CHEMBL540701_diffdock_5,0.2473866343,6.1593255997,24.66054,209.4312,5.02383,14.19013507029059,31.83396,0.00698,5406.765563,262.047,7.584770888333886,7.589062441058948,7.259139957098452,59.54382220783339,17.474306432104825
CHEMBL540701_diffdock_6,0.1624497622,6.0529899597,36.50733,315.98349,10.0837,12.90944423758763,46.17326,0.00071,55722.884196,340.54,7.678821330336325,7.500580044455554,7.176849771561771,68.16029307313372,21.79050239173331
CHEMBL540701_diffdock_7,0.05535537,5.8936710358,7.44763,71.30042,-1.00817,12.318159806560358,12.54298,0.01324,23249.685055,-54.5245,7.341264915251425,7.067862428793426,6.598392014541016,48.27146968821363,11.679018489290865
CHEMBL540701_diffdock_8,0.3480142951,6.1515522003,23.74215,232.71053,4.6556,12.13722946493956,31.23562,0.00136,725070.398287,167.113,7.623815170440667,7.549062777777781,7.237106257131757,67.25296218979362,12.723164402383487
CHEMBL540701_diffdock_9,0.5149959326,6.3951778412,23.5555,242.06053,5.03579,14.256046496145183,31.07584,0.00141,1617.77469,-42.7939,7.677489060051061,7.535872981240983,7.119833737651237,68.48482379531856,12.388453227438475
CHEMBL540701_diffdock_10,0.4477353394,6.2807350159,26.18616,225.30801,6.09969,12.170701752649116,34.8923,0.00108,157062797.631608,255.209,7.595462562937062,7.5392229949494975,7.108396020479523,69.05996886547464,13.392394554924582
CHEMBL4435632_diffdock_1,0.1826800853,5.8180513382,-2.02771,-7.55181,-4.97321,11.139315361437864,1.31657,0.02284,120427.901033,-66.8135,7.186925073426573,6.95823966761016,6.546636902541903,28.69041908379449,6.62321736192072
CHEMBL4435632_diffdock_2,0.4103163779,6.0731248856,-5.6583,-26.30736,-6.34332,12.434999753878085,-3.84417,0.01491,225407.720752,-70.1902,7.028444380064379,6.962988405150402,6.474516534410033,29.13398027437401,6.567085922878043
CHEMBL4435632_diffdock_3,0.5887149572,6.6517791748,-5.39851,-16.64971,-6.66331,10.005872075835905,-3.64247,0.02906,236634746.270851,-64.1716,7.39027274392274,7.171313467365967,6.792964339771334,41.77895432482596,6.478402618136151
CHEMBL4435632_diffdock_4,0.2203748524,5.9489412308,-2.21825,8.28375,-5.06149,14.47404031430352,-0.2726,0.019,332720.836945,-64.0359,7.042095546731043,6.88111502886002,6.430805850760351,23.54009149712121,6.454692084489128
CHEMBL4435632_diffdock_5,0.5397174954,6.1401081085,-5.09509,-12.52476,-6.14498,11.292862068521655,-2.95983,0.02398,124972.712753,-67.7981,6.995985007770003,6.7708164527694485,6.509904308635807,31.530296813803783,6.58256874945621
CHEMBL4435632_diffdock_6,0.1045660451,5.7869338989,7.49377,94.86639,-2.71762,9.928380525392184,12.09303,0.0248,592.747199,-12.8744,7.709011055666556,7.416439551726057,7.362163595349101,43.61889735369558,6.702136831282191
