ID,LinF9
CHEMBL127223_gnina_7,-7.94343
CHEMBL127223_gnina_8,-7.20006
CHEMBL127223_gnina_9,-7.33728
CHEMBL127223_gnina_10,-7.29303
CHEMBL141238_gnina_1,-6.15271
CHEMBL141238_gnina_2,-6.40893
CHEMBL141238_gnina_3,-6.08627
CHEMBL141238_gnina_4,-7.19879
CHEMBL141238_gnina_5,-6.04425
CHEMBL141238_gnina_6,-6.16692
CHEMBL141238_gnina_7,-6.66064
CHEMBL141238_gnina_8,-6.70204
CHEMBL141238_gnina_9,-6.40486
CHEMBL141238_gnina_10,-6.19016
CHEMBL144842_gnina_1,-7.52344
CHEMBL144842_gnina_2,-6.88985
CHEMBL144842_gnina_3,-6.91998
CHEMBL144842_gnina_4,-6.86085
CHEMBL144842_gnina_5,-6.18009
CHEMBL144842_gnina_6,-7.25416
CHEMBL144842_gnina_7,-6.21945
CHEMBL144842_gnina_8,-8.09178
CHEMBL144842_gnina_9,-6.96184
CHEMBL144842_gnina_10,-7.19144
CHEMBL14932_gnina_1,-8.47000
CHEMBL14932_gnina_2,-8.02598
CHEMBL14932_gnina_3,-7.91732
CHEMBL14932_gnina_4,-7.90584
CHEMBL14932_gnina_5,-7.78129
CHEMBL14932_gnina_6,-8.39368
CHEMBL14932_gnina_7,-7.17309
CHEMBL14932_gnina_8,-7.15356
CHEMBL14932_gnina_9,-6.94878
CHEMBL14932_gnina_10,-7.55033
CHEMBL154080_gnina_1,-10.29296
CHEMBL154080_gnina_2,-10.99188
CHEMBL154080_gnina_3,-9.59699
CHEMBL154080_gnina_4,-9.65076
CHEMBL154080_gnina_5,-9.84597
CHEMBL154080_gnina_6,-10.30421
CHEMBL154080_gnina_7,-10.00632
CHEMBL154080_gnina_8,-10.28913
CHEMBL154080_gnina_9,-9.63787
CHEMBL154080_gnina_10,-9.65130
CHEMBL154822_gnina_1,-9.68231
CHEMBL154822_gnina_2,-9.73315
CHEMBL154822_gnina_3,-9.65759
CHEMBL154822_gnina_4,-9.81944
CHEMBL154822_gnina_5,-10.71404
CHEMBL154822_gnina_6,-9.53644
CHEMBL154822_gnina_7,-10.73869
CHEMBL154822_gnina_8,-9.75460
CHEMBL154822_gnina_9,-9.59655
CHEMBL154822_gnina_10,-10.74140
CHEMBL154911_gnina_1,-6.89892
CHEMBL154911_gnina_2,-7.08813
CHEMBL154911_gnina_3,-7.08504
CHEMBL154911_gnina_4,-6.66773
CHEMBL154911_gnina_5,-6.52785
CHEMBL154911_gnina_6,-5.98640
CHEMBL154911_gnina_7,-6.48314
CHEMBL154911_gnina_8,-5.93077
CHEMBL154911_gnina_9,-6.06184
CHEMBL154911_gnina_10,-6.50213
CHEMBL1630114_gnina_1,-9.77123
CHEMBL1630114_gnina_2,-10.42684
CHEMBL1630114_gnina_3,-10.77325
CHEMBL1630114_gnina_4,-10.77510
CHEMBL1630114_gnina_5,-10.37184
CHEMBL1630114_gnina_6,-10.28019
CHEMBL1630114_gnina_7,-9.38083
CHEMBL1630114_gnina_8,-9.20864
CHEMBL1630114_gnina_9,-10.02147
CHEMBL1630114_gnina_10,-7.92321
CHEMBL1645466_gnina_1,-8.21036
CHEMBL1645466_gnina_2,-7.67200
CHEMBL1645466_gnina_3,-6.74124
