docking_tool,scoring_function,spearman_correlation,cost_per_pipeline,enrichment_factor,ranking_method
"['diffdock', 'smina']","['RTMScore', 'SCORCH']",0.4670978476836479,557.8,2.151111111111111,rank_by_rank
"['diffdock', 'gnina', 'smina']","['RTMScore', 'SCORCH']",0.4610176428391703,663.5999999999999,2.151111111111111,rank_by_rank
['diffdock'],"['CHEMPLP', 'RTMScore']",0.455666486768229,412.81,2.0343137254901964,Zscore
['diffdock'],['RTMScore'],0.4555704720890712,411.6,2.0343137254901964,exponential_consensus_ranking
['diffdock'],['RTMScore'],0.4555704720890712,411.6,2.0343137254901964,Zscore
['diffdock'],['RTMScore'],0.4555704720890712,411.6,2.0343137254901964,rank_by_rank
"['diffdock', 'gnina']","['CHEMPLP', 'CNNaffinity', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4515682496188359,601.78,1.9555555555555555,rank_by_rank
"['diffdock', 'gnina']","['RTMScore', 'SCORCH']",0.449375514157298,563.6999999999999,1.9555555555555555,rank_by_rank
"['diffdock', 'gnina']","['CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4486640641621089,600.5699999999999,2.151111111111111,rank_by_rank
"['diffdock', 'flexx', 'gnina']","['CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4452664148933338,603.9,1.9555555555555555,rank_by_rank
"['diffdock', 'gnina', 'smina']","['CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4443460860871234,700.4699999999999,2.151111111111111,rank_by_rank
"['diffdock', 'smina']","['RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4441178137626618,564.6999999999999,1.9555555555555555,rank_by_rank
"['diffdock', 'gnina']","['CNNaffinity', 'CNNscore', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4435214450512825,576.8,1.9555555555555555,rank_by_rank
