SCORCH,ID
0.00297,CHEMBL5082074_gnina_1
0.00093,CHEMBL5082074_gnina_2
0.00376,CHEMBL5082074_gnina_3
0.00563,CHEMBL5082074_gnina_4
0.00392,CHEMBL5082074_gnina_5
0.00377,CHEMBL5082074_gnina_6
0.00301,CHEMBL5082074_gnina_7
0.00369,CHEMBL5082074_gnina_8
0.00168,CHEMBL5082074_gnina_9
0.00107,CHEMBL5082074_gnina_10
0.00572,CHEMBL5088102_gnina_1
0.00231,CHEMBL5088102_gnina_2
0.0022,CHEMBL5088102_gnina_3
0.00443,CHEMBL5088102_gnina_4
0.0037,CHEMBL5088102_gnina_5
0.01607,CHEMBL5088102_gnina_6
0.0035,CHEMBL5088102_gnina_7
0.00491,CHEMBL5088102_gnina_8
0.00315,CHEMBL5088102_gnina_9
0.00254,CHEMBL5088102_gnina_10
0.04291,CHEMBL512391_gnina_1
0.0132,CHEMBL512391_gnina_2
0.02039,CHEMBL512391_gnina_3
0.01611,CHEMBL512391_gnina_4
0.01746,CHEMBL512391_gnina_5
0.02978,CHEMBL512391_gnina_6
0.01834,CHEMBL512391_gnina_7
0.00921,CHEMBL512391_gnina_8
0.01279,CHEMBL512391_gnina_9
0.02683,CHEMBL512391_gnina_10
0.02132,CHEMBL5169900_gnina_1
0.00867,CHEMBL5169900_gnina_2
0.02596,CHEMBL5169900_gnina_3
0.0089,CHEMBL5169900_gnina_4
0.00795,CHEMBL5169900_gnina_5
0.00771,CHEMBL5169900_gnina_6
0.00394,CHEMBL5169900_gnina_7
0.01448,CHEMBL5169900_gnina_8
0.00738,CHEMBL5169900_gnina_9
0.01277,CHEMBL5169900_gnina_10
0.00501,CHEMBL5173449_gnina_1
0.00561,CHEMBL5173449_gnina_2
0.00591,CHEMBL5173449_gnina_3
0.00385,CHEMBL5173449_gnina_4
0.00046,CHEMBL5173449_gnina_5
0.01531,CHEMBL5173449_gnina_6
0.00469,CHEMBL5173449_gnina_7
0.00051,CHEMBL5173449_gnina_8
0.0159,CHEMBL5173449_gnina_9
0.01074,CHEMBL5173449_gnina_10
0.00148,CHEMBL5174232_gnina_1
0.0018,CHEMBL5174232_gnina_2
0.001,CHEMBL5174232_gnina_3
0.00221,CHEMBL5174232_gnina_4
0.00504,CHEMBL5174232_gnina_5
0.00253,CHEMBL5174232_gnina_6
0.01001,CHEMBL5174232_gnina_7
0.01684,CHEMBL5174232_gnina_8
0.00066,CHEMBL5174232_gnina_9
0.00254,CHEMBL5174232_gnina_10
0.00969,CHEMBL5178754_gnina_1
0.07557,CHEMBL5178754_gnina_2
0.00592,CHEMBL5178754_gnina_3
0.00704,CHEMBL5178754_gnina_4
0.02586,CHEMBL5178754_gnina_5
0.02175,CHEMBL5178754_gnina_6
0.01162,CHEMBL5178754_gnina_7
0.02314,CHEMBL5178754_gnina_8
0.01197,CHEMBL5178754_gnina_9
0.00435,CHEMBL5178754_gnina_10
0.03568,CHEMBL5180325_gnina_1
0.06138,CHEMBL5180325_gnina_2
0.06679,CHEMBL5180325_gnina_3
0.09483,CHEMBL5180325_gnina_4
0.0356,CHEMBL5180325_gnina_5
0.02608,CHEMBL5180325_gnina_6
0.03976,CHEMBL5180325_gnina_7
0.09782,CHEMBL5180325_gnina_8
0.02073,CHEMBL5180325_gnina_9
0.057,CHEMBL5180325_gnina_10
0.05028,CHEMBL51854_gnina_1
0.05258,CHEMBL51854_gnina_2
0.03152,CHEMBL51854_gnina_3
0.03372,CHEMBL51854_gnina_4
0.02002,CHEMBL51854_gnina_5
0.06368,CHEMBL51854_gnina_6
0.01988,CHEMBL51854_gnina_7
0.04293,CHEMBL51854_gnina_8
0.02356,CHEMBL51854_gnina_9
0.0098,CHEMBL51854_gnina_10
0.02561,CHEMBL5188948_gnina_1
0.01358,CHEMBL5188948_gnina_2
0.02241,CHEMBL5188948_gnina_3
0.04723,CHEMBL5188948_gnina_4
0.01742,CHEMBL5188948_gnina_5
0.03239,CHEMBL5188948_gnina_6
0.00091,CHEMBL5188948_gnina_7
0.0345,CHEMBL5188948_gnina_8
0.01263,CHEMBL5188948_gnina_9
0.02014,CHEMBL5188948_gnina_10
0.00021,CHEMBL5192038_gnina_1
0.00031,CHEMBL5192038_gnina_2
5e-05,CHEMBL5192038_gnina_3
4e-05,CHEMBL5192038_gnina_4
9e-05,CHEMBL5192038_gnina_5
0.00029,CHEMBL5192038_gnina_6
0.00029,CHEMBL5192038_gnina_7
0.00018,CHEMBL5192038_gnina_8
9e-05,CHEMBL5192038_gnina_9
0.00031,CHEMBL5192038_gnina_10
0.01884,CHEMBL5192318_gnina_1
0.01654,CHEMBL5192318_gnina_2
0.01512,CHEMBL5192318_gnina_3
0.0168,CHEMBL5192318_gnina_4
0.0811,CHEMBL5192318_gnina_5
0.0198,CHEMBL5192318_gnina_6
0.01299,CHEMBL5192318_gnina_7
0.02662,CHEMBL5192318_gnina_8
0.0094,CHEMBL5192318_gnina_9
0.01267,CHEMBL5192318_gnina_10
0.00598,CHEMBL5198812_gnina_1
0.00983,CHEMBL5198812_gnina_2
0.005,CHEMBL5198812_gnina_3
