ID,HYDE
CHEMBL80540_smina_4,6.338984
CHEMBL80540_smina_5,290.580630
CHEMBL80540_smina_6,22.010682
CHEMBL80540_smina_7,5544097.269247
CHEMBL80540_smina_8,11056.760153
CHEMBL80540_smina_9,132.445440
CHEMBL80540_smina_10,8895.741483
CHEMBL92174_smina_1,194414401.793376
CHEMBL92174_smina_2,115.322987
CHEMBL92174_smina_3,194753017.905414
CHEMBL92174_smina_4,290770.899520
CHEMBL92174_smina_5,156864.760261
CHEMBL92174_smina_6,20.740696
CHEMBL92174_smina_7,35216065.466923
CHEMBL92174_smina_8,81480087.817603
CHEMBL92174_smina_9,443366.537455
CHEMBL92174_smina_10,247935.806697
CHEMBL94066_smina_1,10153.653297
CHEMBL94066_smina_2,137715.023103
CHEMBL94066_smina_3,10360.717985
CHEMBL94066_smina_4,772579.856188
CHEMBL94066_smina_5,95636.714335
CHEMBL94066_smina_6,760557.082678
CHEMBL94066_smina_7,102049.069395
CHEMBL94066_smina_8,22019.712715
CHEMBL94066_smina_9,3243.085500
CHEMBL94066_smina_10,61888.114366
CHEMBL4457733_diffdock_1,115275421.559842
CHEMBL4457733_diffdock_2,16974711.084891
CHEMBL4457733_diffdock_3,5030218197.216516
CHEMBL4457733_diffdock_4,838.680674
CHEMBL4457733_diffdock_5,607615.725848
CHEMBL4457733_diffdock_6,7770949.171535
CHEMBL4457733_diffdock_7,31.679101
CHEMBL4457733_diffdock_8,297594.891378
CHEMBL4457733_diffdock_9,46336727.436055
CHEMBL4457733_diffdock_10,64153393.552500
CHEMBL1204261_diffdock_1,5251.382827
CHEMBL1204261_diffdock_2,5200.597032
CHEMBL1204261_diffdock_3,5200.115289
CHEMBL1204261_diffdock_4,4353.360940
CHEMBL1204261_diffdock_5,13525.115694
CHEMBL1204261_diffdock_6,5825.471217
CHEMBL1204261_diffdock_7,6738.306245
CHEMBL1204261_diffdock_8,5250.209277
CHEMBL1204261_diffdock_9,24230.947023
CHEMBL1204261_diffdock_10,100323607.846148
CHEMBL4759072_diffdock_1,11316143.550423
CHEMBL4759072_diffdock_2,67871.588741
CHEMBL4759072_diffdock_3,117310.323274
CHEMBL4759072_diffdock_4,14485.939985
CHEMBL4759072_diffdock_5,46118.341089
CHEMBL4759072_diffdock_6,2855.058583
CHEMBL4759072_diffdock_7,74968.429685
CHEMBL4759072_diffdock_8,10375947.592646
CHEMBL4759072_diffdock_9,55537482.996776
CHEMBL4759072_diffdock_10,67838082.806164
CHEMBL291701_diffdock_1,9069.945278
CHEMBL291701_diffdock_2,83095594.511239
CHEMBL291701_diffdock_3,3581.945191
CHEMBL291701_diffdock_4,8825.977616
CHEMBL291701_diffdock_5,8829.787191
CHEMBL291701_diffdock_6,8830.452983
CHEMBL291701_diffdock_7,8461.881144
CHEMBL291701_diffdock_8,3579.237697
CHEMBL291701_diffdock_9,3580.392139
CHEMBL291701_diffdock_10,3579.950298
CHEMBL593760_diffdock_1,5039.032619
CHEMBL593760_diffdock_2,19.370948
CHEMBL593760_diffdock_3,7107739.908151
CHEMBL593760_diffdock_4,148956.095747
CHEMBL593760_diffdock_5,35888.382573
CHEMBL593760_diffdock_6,30039025.867057
CHEMBL593760_diffdock_7,153096.324807
CHEMBL593760_diffdock_8,1525.493568
CHEMBL593760_diffdock_9,2574.901479
CHEMBL593760_diffdock_10,2198238.720792
CHEMBL1928944_diffdock_1,2088327.390653
CHEMBL1928944_diffdock_2,750154.718787
CHEMBL1928944_diffdock_3,10.965377
CHEMBL1928944_diffdock_4,539650.691431
CHEMBL1928944_diffdock_5,627590602.388031
CHEMBL1928944_diffdock_6,2043024.181736
CHEMBL1928944_diffdock_7,93514344.329217
CHEMBL1928944_diffdock_8,2297389049.287305
CHEMBL1928944_diffdock_9,11515.330264
CHEMBL1928944_diffdock_10,218566248.861969
CHEMBL3221557_diffdock_1,79291062168.122559
CHEMBL3221557_diffdock_2,86744567.051622
CHEMBL3221557_diffdock_3,8119860.432830
CHEMBL3221557_diffdock_4,3329.817752
CHEMBL3221557_diffdock_5,26108102.222346
CHEMBL3221557_diffdock_6,5954124.950902
CHEMBL3221557_diffdock_7,42814.718951
CHEMBL3221557_diffdock_8,4716192.521864
CHEMBL3221557_diffdock_9,16546391.151706
CHEMBL3221557_diffdock_10,617461.076335
CHEMBL4858409_diffdock_1,24582909.691015
CHEMBL4858409_diffdock_2,1196527.849874
CHEMBL4858409_diffdock_3,3415127960261.821289
CHEMBL4858409_diffdock_4,5442510.833652
CHEMBL4858409_diffdock_5,741425.180476
CHEMBL4858409_diffdock_6,126022317.437188
CHEMBL4858409_diffdock_7,939719992.410060
CHEMBL4858409_diffdock_8,12575616.981405
CHEMBL4858409_diffdock_9,6219933.482011
CHEMBL4858409_diffdock_10,3829202.930889
CHEMBL1242208_diffdock_1,832495.248542
CHEMBL1242208_diffdock_2,234791536.072115
CHEMBL1242208_diffdock_3,17792252.389081
CHEMBL1242208_diffdock_4,649634572.642719
CHEMBL1242208_diffdock_5,1490747.604514
CHEMBL1242208_diffdock_6,993265528.057175
CHEMBL1242208_diffdock_7,509278805.444548
CHEMBL1242208_diffdock_8,266259724.410707
CHEMBL1242208_diffdock_9,364092756.440603
CHEMBL1242208_diffdock_10,100323607.846148
CHEMBL3586175_diffdock_1,679766.820758
CHEMBL3586175_diffdock_2,539.007573
CHEMBL3586175_diffdock_3,3774909351683.831055
CHEMBL3586175_diffdock_4,627693279077.377319
CHEMBL357570_plants_02,7911240.472894
CHEMBL357570_plants_03,9772.552762
CHEMBL357570_plants_04,195604.072089
CHEMBL357570_plants_05,3528776.596606
CHEMBL357570_plants_06,63989.482357
CHEMBL357570_plants_07,882.361886
CHEMBL357570_plants_08,2923318463.673056
CHEMBL357570_plants_09,3149092.799201
CHEMBL357570_plants_10,4075436.525499
CHEMBL4293134_plants_01,10469.527587
CHEMBL4293134_plants_02,4311.387018
CHEMBL4293134_plants_03,13595.876497
CHEMBL4293134_plants_04,8697.741571
CHEMBL4293134_plants_05,5731.103131
CHEMBL4293134_plants_06,125131.318167
CHEMBL4293134_plants_07,11929407.758141
CHEMBL4293134_plants_08,3710821175.429050
CHEMBL4293134_plants_09,69651420.280274
CHEMBL4293134_plants_10,832440.397938
CHEMBL3671582_plants_01,1896309.698707
CHEMBL3671582_plants_02,31385.261055
CHEMBL3671582_plants_03,2713115.255239
CHEMBL3671582_plants_04,13259576.082179
CHEMBL3671582_plants_05,3195750.027149
CHEMBL3671582_plants_06,224915.918901
CHEMBL3671582_plants_07,66405.119807
CHEMBL3671582_plants_08,1754667332.681324
CHEMBL3671582_plants_09,537883273.588089
CHEMBL3671582_plants_10,1492965.908263
CHEMBL4107879_plants_01,136231.308369
CHEMBL4107879_plants_02,5929.808866
CHEMBL4107879_plants_03,9157.241048
CHEMBL4107879_plants_04,109222295447.956238
CHEMBL4107879_plants_05,179070380.608979
CHEMBL4107879_plants_06,15032506.523092
CHEMBL4107879_plants_07,297647.831315
CHEMBL4107879_plants_08,2604.369978
CHEMBL4107879_plants_09,1606913.698373
CHEMBL4107879_plants_10,330693.497891
CHEMBL29197_plants_01,273495.120727
CHEMBL29197_plants_02,1035177.305274
CHEMBL29197_plants_03,6969.394261
CHEMBL29197_plants_04,3561.639983
CHEMBL29197_plants_05,5159.145968
CHEMBL29197_plants_06,1343206.043420
CHEMBL29197_plants_07,278834.984701
CHEMBL29197_plants_08,11536.560459
CHEMBL29197_plants_09,31516549.127073
CHEMBL29197_plants_10,21663.991915
CHEMBL2032376_plants_01,3744090.690095
CHEMBL2032376_plants_02,1331304.003487
CHEMBL2032376_plants_03,1177790.553906
CHEMBL2032376_plants_04,82096.881271
CHEMBL2032376_plants_05,1111015.087185
CHEMBL2032376_plants_06,141184713.155317
CHEMBL2032376_plants_07,29712367.871426
CHEMBL2032376_plants_08,6874297930.367044
CHEMBL2032376_plants_09,3691540244.392725
CHEMBL2032376_plants_10,215448.382929
CHEMBL4569552_plants_01,102300.923500
CHEMBL4569552_plants_02,89.240435
CHEMBL4569552_plants_03,7607015.635065
CHEMBL4569552_plants_04,48290916.742325
CHEMBL4569552_plants_05,182950349.073515
CHEMBL4569552_plants_06,36639699.028376
CHEMBL4569552_plants_07,118795236430.198975
CHEMBL4569552_plants_08,34130536.296029
CHEMBL4569552_plants_09,129411902.146258
CHEMBL4569552_plants_10,2099.682663
CHEMBL245868_plants_01,27.109223
CHEMBL245868_plants_02,0.451045
CHEMBL245868_plants_03,99.298636
CHEMBL245868_plants_04,2614686.352624
CHEMBL245868_plants_05,65.131868
CHEMBL245868_plants_06,3627759995.860755
CHEMBL245868_plants_07,198.259688
CHEMBL245868_plants_08,10481.404876
CHEMBL245868_plants_09,2010.375057
CHEMBL245868_plants_10,28.342810
CHEMBL5077776_plants_01,1443.393157
CHEMBL5077776_plants_02,1823492.147314
CHEMBL5077776_plants_03,1612.458548
CHEMBL5077776_plants_04,4359843181.611673
CHEMBL5077776_plants_05,2511.016818
CHEMBL5077776_plants_06,14095826.636172
CHEMBL5077776_plants_07,14687534.032749
CHEMBL5077776_plants_08,227873.654833
CHEMBL5077776_plants_09,3631418279.325350
CHEMBL5077776_plants_10,8499.960318
CHEMBL1821886_plants_01,28301866.566994
CHEMBL1821886_plants_02,16693111.734369
CHEMBL1821886_plants_03,33576049.729633
CHEMBL1821886_plants_04,33.612699
CHEMBL1821886_plants_05,1484235.458178
CHEMBL1821886_plants_06,35165.821445
CHEMBL1821886_plants_07,51242.957823
CHEMBL1821886_plants_08,27888584.609936
CHEMBL1821886_plants_09,10788.714399
CHEMBL1821886_plants_10,2847875.204952
CHEMBL4067916_plants_01,4455529.858155
CHEMBL4067916_plants_02,1079016.067273
CHEMBL4067916_plants_03,395.367981
CHEMBL4067916_plants_04,15393892697.235842
CHEMBL4067916_plants_05,15213457.968756
CHEMBL4067916_plants_06,5658708.031019
CHEMBL4067916_plants_07,5764492.673489
CHEMBL4067916_plants_08,31554759.542382
CHEMBL4067916_plants_09,26431054.679156
CHEMBL4067916_plants_10,9793920.624489
CHEMBL4462965_plants_01,3376615919.652549
CHEMBL4462965_plants_02,37800385.277468
CHEMBL4462965_plants_03,65527.546799
