ID,Vinardo
CHEMBL5174232_gnina_4,-8.19872
CHEMBL5174232_gnina_5,-9.35311
CHEMBL5174232_gnina_6,-7.08886
CHEMBL5174232_gnina_7,-9.20930
CHEMBL5174232_gnina_8,-8.46528
CHEMBL5174232_gnina_9,-8.11695
CHEMBL5174232_gnina_10,-7.27217
CHEMBL5178754_gnina_1,-6.39372
CHEMBL5178754_gnina_2,-6.32824
CHEMBL5178754_gnina_3,-7.03400
CHEMBL5178754_gnina_4,-6.65368
CHEMBL5178754_gnina_5,-10.14584
CHEMBL5178754_gnina_6,-8.18492
CHEMBL5178754_gnina_7,-8.41760
CHEMBL5178754_gnina_8,-11.11359
CHEMBL5178754_gnina_9,-6.27032
CHEMBL5178754_gnina_10,-6.31823
CHEMBL5180325_gnina_1,-7.41101
CHEMBL5180325_gnina_2,-7.51162
CHEMBL5180325_gnina_3,-7.27778
CHEMBL5180325_gnina_4,-7.30519
CHEMBL5180325_gnina_5,-7.95418
CHEMBL5180325_gnina_6,-7.48630
CHEMBL5180325_gnina_7,-6.92725
CHEMBL5180325_gnina_8,-7.12391
CHEMBL5180325_gnina_9,-6.49523
CHEMBL5180325_gnina_10,-7.41738
CHEMBL51854_gnina_1,-6.79009
CHEMBL51854_gnina_2,-6.53481
CHEMBL51854_gnina_3,-5.54388
CHEMBL51854_gnina_4,-6.07183
CHEMBL51854_gnina_5,-6.69899
CHEMBL51854_gnina_6,-6.97695
CHEMBL51854_gnina_7,-6.11699
CHEMBL51854_gnina_8,-5.68071
CHEMBL51854_gnina_9,-6.29153
CHEMBL51854_gnina_10,-5.78475
CHEMBL5188948_gnina_1,-8.94494
CHEMBL5188948_gnina_2,-6.85380
CHEMBL5188948_gnina_3,-8.07320
CHEMBL5188948_gnina_4,-7.70134
CHEMBL5188948_gnina_5,-8.02575
CHEMBL5188948_gnina_6,-7.95474
CHEMBL5188948_gnina_7,-6.35383
CHEMBL5188948_gnina_8,-7.03707
CHEMBL5188948_gnina_9,-8.09162
CHEMBL5188948_gnina_10,-7.36380
CHEMBL5192038_gnina_1,-2.69164
CHEMBL5192038_gnina_2,-2.27973
CHEMBL5192038_gnina_3,-2.38922
