docking_tool,scoring_function,spearman_correlation,cost_per_pipeline,enrichment_factor,ranking_method
['diffdock'],"['CHEMPLP', 'RTMScore']",0.4893582072818881,412.81,1.2276785714285716,Zscore
['diffdock'],['RTMScore'],0.489166848565122,411.6,1.2276785714285716,exponential_consensus_ranking
['diffdock'],['RTMScore'],0.489166848565122,411.6,1.2276785714285716,Zscore
['diffdock'],['RTMScore'],0.489166848565122,411.6,1.2276785714285716,rank_by_rank
"['diffdock', 'smina']","['RTMScore', 'SCORCH']",0.4868122409801338,557.8,1.7676767676767675,rank_by_rank
['diffdock'],"['CHEMPLP', 'RTMScore', 'rfscore_v2']",0.4819864458682467,419.68,1.4732142857142858,rank_by_rank
"['diffdock', 'gnina']","['CNNaffinity', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4811727754244249,580.5699999999999,2.430555555555556,rank_by_rank
"['diffdock', 'smina']","['CNNaffinity', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4758646575184546,574.67,2.430555555555556,rank_by_rank
"['diffdock', 'gnina']","['CHEMPLP', 'CNNaffinity', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.47541831862926,581.78,1.3257575757575757,rank_by_rank
"['diffdock', 'gnina', 'smina']","['RTMScore', 'SCORCH']",0.4736598210666525,663.5999999999999,1.7676767676767675,rank_by_rank
"['diffdock', 'smina']","['CNNaffinity', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.469930740379675,567.8,2.20959595959596,rank_by_rank
"['diffdock', 'smina']","['RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4687997908318456,571.5699999999999,2.20959595959596,rank_by_rank
"['diffdock', 'gnina']","['CNNaffinity', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4686655969417363,573.6999999999999,2.430555555555556,rank_by_rank
"['diffdock', 'flexx', 'smina']","['RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4657524131203394,574.9,1.9886363636363635,rank_by_rank
['diffdock'],"['HYDE', 'RTMScore']",0.4654999637821514,431.6,1.4732142857142858,Zscore
['diffdock'],"['CHEMPLP', 'HYDE', 'RTMScore']",0.4650840596620751,432.81,1.4732142857142858,Zscore
"['diffdock', 'gnina']","['CNNaffinity', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.464781384934296,600.5699999999999,2.20959595959596,rank_by_rank
