ID,RTMScore
CHEMBL4583545_diffdock_1,30.58238959362249
CHEMBL4444312_diffdock_1,30.302771743192263
CHEMBL5172251_diffdock_6,29.41250315468876
CHEMBL4552429_diffdock_6,28.954048957747965
CHEMBL4166609_diffdock_3,28.91667235417625
CHEMBL4467561_diffdock_5,28.590846243419985
CHEMBL3639984_diffdock_5,28.474662417785016
CHEMBL4583545_diffdock_5,28.40980657895616
CHEMBL4552429_diffdock_2,28.36106273260016
CHEMBL4522613_diffdock_8,28.285569451777835
CHEMBL5179538_diffdock_1,28.15756333830864
CHEMBL5172251_diffdock_4,28.09191286551242
CHEMBL2029434_diffdock_6,28.02260559355069
CHEMBL4449391_diffdock_1,27.919190827940536
CHEMBL3353402_diffdock_1,27.883546478756188
CHEMBL5194174_diffdock_5,27.842988550619257
CHEMBL5172251_diffdock_9,27.77952480245338
CHEMBL5179357_diffdock_7,27.750530320244145
CHEMBL3639984_diffdock_6,27.727280538712066
CHEMBL5087815_diffdock_5,27.58300515791721
CHEMBL4449391_diffdock_2,27.56019342106171
CHEMBL5193149_diffdock_2,27.55875074268922
CHEMBL3639984_diffdock_1,27.517573175914368
CHEMBL2381514_diffdock_6,27.509571634897146
CHEMBL2381506_diffdock_1,27.35716185335523
CHEMBL5087815_diffdock_2,27.31136367709748
CHEMBL4282688_diffdock_1,27.30661635322966
CHEMBL5193149_diffdock_5,27.303130081685183
CHEMBL5087815_diffdock_4,27.301991759954365
CHEMBL5193149_diffdock_7,27.2931112605168
CHEMBL4583545_diffdock_6,27.251787156637263
CHEMBL1643971_diffdock_1,27.214815469849302
CHEMBL4516287_diffdock_1,27.12678672565538
CHEMBL4522613_diffdock_7,27.099250590455995
CHEMBL4467561_diffdock_4,27.074191783671232
CHEMBL3699581_diffdock_4,27.06527688118424
CHEMBL4229010_diffdock_3,27.061502549689205
CHEMBL4642177_diffdock_2,27.037607638547936
CHEMBL4565984_diffdock_8,27.01704451770301
CHEMBL3353404_diffdock_5,27.002584802552512
CHEMBL5199169_diffdock_1,26.98994710670535
CHEMBL4747078_diffdock_1,26.979849877948563
CHEMBL5193149_diffdock_3,26.94758073885836
CHEMBL4286318_diffdock_2,26.913607492761788
CHEMBL4129781_diffdock_1,26.83699862085581
CHEMBL5075204_diffdock_2,26.827734255256765
CHEMBL4444312_diffdock_2,26.79582549445664
CHEMBL4465103_diffdock_1,26.77501831318772
CHEMBL4583545_diffdock_3,26.74371524877283
CHEMBL5206715_diffdock_6,26.737493518952192
CHEMBL4540442_diffdock_8,26.73403644534738
CHEMBL4540442_diffdock_6,26.720157830378664
CHEMBL5203220_diffdock_3,26.70096887430914
CHEMBL4091276_diffdock_6,26.666985389117364
CHEMBL4548960_diffdock_4,26.66330332792744
CHEMBL4565984_diffdock_2,26.657557812035904
