ID,CNNscore,CNNaffinity,smina_affinity,ad4,LinF9,RTMScore,Vinardo,SCORCH,HYDE,CHEMPLP,rfscore_v1,rfscore_v2,rfscore_v3,vina_hydrophobic,vina_intra_hydrophobic,id,docking_tool,true_value,activity_class
CHEMBL521155_diffdock_1,0.06593057866421857,-0.4456724550794489,-0.27502639118266997,-0.2924987753630222,-0.28269573681865157,-0.24785261783565016,-0.24892595892810135,-0.014744278912609427,-0.6002502830872974,0.03191451009948721,-0.04035547467753835,-0.10505779561398017,-0.20631756506297746,0.6312408350446431,0.28217827439147636,CHEMBL521155,diffdock,4.455932,0
CHEMBL521155_diffdock_2,0.3749005423730839,-0.300255566826779,-0.06281487440234708,-0.03714196677248742,-0.10413263557485909,-0.5629952348997209,-0.05675506053025775,-0.05615112885885424,-0.5590617348109901,0.03213837818360026,0.0044301098542217105,-0.038329344060591644,-0.10860605641308808,0.632242332881749,0.28217827439147636,CHEMBL521155,diffdock,4.455932,0
CHEMBL521155_diffdock_3,0.11895113283513424,-0.40071043816368945,-0.2577403188880967,-0.26516280884731325,-0.26041476677135705,-0.4017710034226801,-0.23316686370762987,-0.00528336661035171,-0.5995568731836559,0.03317057776875,-0.032672619251759225,-0.10709481058184572,-0.229243730009923,0.6904186207709879,0.28217827439147636,CHEMBL521155,diffdock,4.455932,0
CHEMBL521155_diffdock_4,0.3737961062445817,-0.2549849991308796,-0.06989224813602753,-0.03575823125651236,-0.11355077154957323,-0.39125269789287276,-0.07491254209473949,-0.038089387190907695,0.009257022213614534,0.04718858465737574,-0.03468061867857418,-0.07565577743750726,-0.18779739751690763,0.6775443591512817,0.28217827439147636,CHEMBL521155,diffdock,4.455932,0
CHEMBL521155_diffdock_5,-0.06082936735298011,-0.42362804591783687,-0.30320289757918883,-0.29471918658090734,-0.30152800019775616,-0.26166752345675864,-0.26818876271150804,-0.06548917217017355,0.28647916636728127,0.020174561501029503,-0.03781215168931332,-0.12886032423268517,-0.23769072763799504,0.7062480846788,0.28217827439147636,CHEMBL521155,diffdock,4.455932,0
CHEMBL521155_diffdock_6,-0.2892462095331289,-0.6291965193696172,-0.35910087830668475,-0.3964485668376213,-0.3287314946021263,-0.18720801812586704,-0.2915792472782098,-0.07052680079864844,-0.6001116011065691,0.0378087306989837,-0.05311776836873263,-0.010746361079937742,-0.20542927857980073,0.6997612008725148,0.28217827439147636,CHEMBL521155,diffdock,4.455932,0
CHEMBL521155_diffdock_7,-0.2127128528784457,-0.4897138336588041,-0.11879411085583243,-0.1311106033233037,-0.1382094918936689,-0.19088312460405224,-0.0830360661445767,0.1795115957610198,-0.15105934750830907,0.04257267269611755,-0.1473288029718943,-0.21389186994889678,-0.2647431867419804,0.6395828310620488,0.28217827439147636,CHEMBL521155,diffdock,4.455932,0
CHEMBL521155_diffdock_8,-0.20078856098588235,-0.49569971842954086,-0.1604317116721819,-0.1450830943685256,-0.18545717410490323,-0.4357168180354206,-0.12966626950339658,0.44908616187989553,-0.26283702397532505,0.04462266993010658,-0.0711067840019357,-0.1846588888298353,-0.2751505347988663,0.6852423650225379,0.28217827439147636,CHEMBL521155,diffdock,4.455932,0
CHEMBL521155_diffdock_9,-0.2737930083854109,-0.5858867917915239,-0.23963220949892985,-0.1837751833556598,-0.2551936039251924,-0.3128128657207899,-0.18945777474338707,0.5878052526493626,-0.264639889724793,0.047663666276699615,-0.07232631352795023,-0.24066269211080143,-0.26617160478214463,0.6991614780255908,0.28217827439147636,CHEMBL521155,diffdock,4.455932,0
CHEMBL521155_diffdock_10,-0.25428736371436056,-0.6706965967708146,-1.1822801575548525,-0.8264249916642462,-0.9732093883389358,-0.503732762179441,-1.00914333896449,-0.12950391644908615,0.23308973910910305,0.01637445546469663,0.1384042775481746,0.1734561410649596,0.22747100770308268,0.4069606164406431,0.28217827439147636,CHEMBL521155,diffdock,4.455932,0
