ID,CNNscore,CNNaffinity,smina_affinity,RTMScore,SCORCH,HYDE,CHEMPLP,rfscore_v2,vina_hydrophobic,vina_intra_hydrophobic,id,docking_tool,true_value,activity_class
CHEMBL521155_diffdock_1,0.3620489836,5.5416936874,3.66379,10.84782612628861,0.00984,10847.529283,-50.248,7.297412225829728,7.471900687902989,2.0,CHEMBL521155,diffdock,4.455932,0
CHEMBL521155_diffdock_2,0.6207889318,5.9012594223,-4.17116,6.298432708822798,0.00647,16089.981339,-50.3708,7.42349985298035,7.414102153953487,2.0,CHEMBL521155,diffdock,4.455932,0
CHEMBL521155_diffdock_3,0.4064498544,5.6528692245,3.02558,8.625862950567962,0.01061,10869.811055,-50.937,7.293563157287159,4.056626954268065,2.0,CHEMBL521155,diffdock,4.455932,0
CHEMBL521155_diffdock_4,0.6198640466,6.0131978989,-3.90986,8.777705028881575,0.00794,4927514.151049,-58.6264,7.352969197691196,4.799627507770567,2.0,CHEMBL521155,diffdock,4.455932,0
CHEMBL521155_diffdock_5,0.2558967173,5.5962018967,4.70408,10.648394385570391,0.00571,2602.022608,-43.8082,7.25243584343434,3.143075498458788,2.0,CHEMBL521155,diffdock,4.455932,0
CHEMBL521155_diffdock_6,0.0646141693,5.0879020691,6.76786,11.723290528072278,0.0053,10850.407002,-53.4812,7.475619642857147,3.5174471246496672,2.0,CHEMBL521155,diffdock,4.455932,0
CHEMBL521155_diffdock_7,0.1287053078,5.4327945709,-2.10438,11.670236753955328,0.02565,850820.779944,-56.0944,7.091763362914862,6.990466657638984,2.0,CHEMBL521155,diffdock,4.455932,0
CHEMBL521155_diffdock_8,0.1386910379,5.4179935455,-0.5671,8.135821752749518,0.04759,271003.591033,-57.2189,7.14700092857143,4.355359495191578,2.0,CHEMBL521155,diffdock,4.455932,0
CHEMBL521155_diffdock_9,0.0775551051,5.1949920654,2.35702,9.910061101428392,0.05888,267049.092957,-58.887,7.041178202242204,3.552058383949431,2.0,CHEMBL521155,diffdock,4.455932,0
CHEMBL521155_diffdock_10,0.0938896686,4.9852867126,37.16003,7.153944749079718,0.0005,280500317.417311,-41.7237,7.823681914196906,20.415580992438898,2.0,CHEMBL521155,diffdock,4.455932,0
