ID,ad4
CHEMBL1242568_gnina_4,-33.83548
CHEMBL1242568_gnina_5,-34.34084
CHEMBL1242568_gnina_6,-33.45249
CHEMBL1242568_gnina_7,-34.21664
CHEMBL1242568_gnina_8,-32.08930
CHEMBL1242568_gnina_9,-33.94855
CHEMBL1242568_gnina_10,-29.45673
CHEMBL1242973_gnina_1,-38.13519
CHEMBL1242973_gnina_2,-37.88828
CHEMBL1242973_gnina_3,-40.80076
CHEMBL1242973_gnina_4,-38.34284
CHEMBL1242973_gnina_5,-39.99466
CHEMBL1242973_gnina_6,-38.02806
CHEMBL1242973_gnina_7,-41.52631
CHEMBL1242973_gnina_8,-35.98608
CHEMBL1242973_gnina_9,-38.48347
CHEMBL1242973_gnina_10,-38.70893
CHEMBL127223_gnina_1,-40.70988
CHEMBL127223_gnina_2,-42.50660
CHEMBL127223_gnina_3,-38.28167
CHEMBL127223_gnina_4,-34.67458
CHEMBL127223_gnina_5,-36.47210
CHEMBL127223_gnina_6,-34.30857
CHEMBL127223_gnina_7,-41.88680
CHEMBL127223_gnina_8,-36.84518
CHEMBL127223_gnina_9,-39.65127
CHEMBL127223_gnina_10,-37.07462
CHEMBL141238_gnina_1,-26.71588
CHEMBL141238_gnina_2,-32.13450
CHEMBL141238_gnina_3,-27.01355
CHEMBL141238_gnina_4,-35.80326
CHEMBL141238_gnina_5,-27.09364
CHEMBL141238_gnina_6,-27.59829
CHEMBL141238_gnina_7,-29.47872
CHEMBL141238_gnina_8,-29.50756
CHEMBL141238_gnina_9,-26.93917
CHEMBL141238_gnina_10,-26.73063
CHEMBL144842_gnina_1,-42.58017
CHEMBL144842_gnina_2,-41.36987
CHEMBL144842_gnina_3,-40.94879
CHEMBL144842_gnina_4,-40.56103
CHEMBL144842_gnina_5,-38.22954
CHEMBL144842_gnina_6,-40.32067
CHEMBL144842_gnina_7,-39.68921
CHEMBL144842_gnina_8,-44.95352
CHEMBL144842_gnina_9,-42.25363
CHEMBL144842_gnina_10,-45.20414
CHEMBL14932_gnina_1,-39.67183
CHEMBL14932_gnina_2,-37.15689
CHEMBL14932_gnina_3,-36.75430
CHEMBL14932_gnina_4,-36.08028
CHEMBL14932_gnina_5,-35.16610
CHEMBL14932_gnina_6,-37.86575
CHEMBL14932_gnina_7,-34.58686
CHEMBL14932_gnina_8,-33.73177
CHEMBL14932_gnina_9,-31.14777
CHEMBL14932_gnina_10,-34.67770
CHEMBL154080_gnina_1,-63.67833
CHEMBL154080_gnina_2,-68.40501
CHEMBL154080_gnina_3,-56.14644
CHEMBL154080_gnina_4,-63.59773
CHEMBL154080_gnina_5,-59.43566
CHEMBL154080_gnina_6,-61.64141
CHEMBL154080_gnina_7,-61.73903
CHEMBL154080_gnina_8,-63.45275
CHEMBL154080_gnina_9,-59.83496
CHEMBL154080_gnina_10,-58.34761
CHEMBL154822_gnina_1,-59.67184
CHEMBL154822_gnina_2,-62.06132
CHEMBL154822_gnina_3,-62.27902
CHEMBL154822_gnina_4,-64.77773
CHEMBL154822_gnina_5,-67.20244
CHEMBL154822_gnina_6,-62.27620
CHEMBL154822_gnina_7,-67.75776
CHEMBL154822_gnina_8,-61.14286
CHEMBL154822_gnina_9,-59.79167
CHEMBL154822_gnina_10,-68.56802
CHEMBL154911_gnina_1,-34.56888
CHEMBL154911_gnina_2,-35.61053
