ID,HYDE
CHEMBL4549295_diffdock_8,553262.611884
CHEMBL4549295_diffdock_9,26172018.576301
CHEMBL4549295_diffdock_10,302491.874053
CHEMBL4081860_diffdock_1,127944.145287
CHEMBL4081860_diffdock_2,94336.602025
CHEMBL4081860_diffdock_3,162981.842800
CHEMBL4081860_diffdock_4,138924.185701
CHEMBL4081860_diffdock_5,260712.696140
CHEMBL4081860_diffdock_6,62374606.434336
CHEMBL4081860_diffdock_7,55.748176
CHEMBL4081860_diffdock_8,67023.441219
CHEMBL4081860_diffdock_9,24389354.559687
CHEMBL4081860_diffdock_10,42892330.456075
CHEMBL578255_diffdock_1,202741.759958
CHEMBL578255_diffdock_2,60663000930.067238
CHEMBL578255_diffdock_3,698514.830358
CHEMBL578255_diffdock_4,662014609.998283
CHEMBL578255_diffdock_5,3551182765.279151
CHEMBL578255_diffdock_6,1888225.093738
CHEMBL578255_diffdock_7,313523302.410872
CHEMBL578255_diffdock_8,3280325457.619836
CHEMBL578255_diffdock_9,931742358.978352
CHEMBL578255_diffdock_10,268011578020.603180
CHEMBL2325095_diffdock_1,408.782127
CHEMBL2325095_diffdock_2,25111.922384
CHEMBL2325095_diffdock_3,709941.817655
CHEMBL2325095_diffdock_4,25266.325872
CHEMBL2325095_diffdock_5,415894.463998
CHEMBL2325095_diffdock_6,2840728.806737
CHEMBL2325095_diffdock_7,104378.542858
CHEMBL2325095_diffdock_8,3088.479867
CHEMBL2325095_diffdock_9,676.268862
CHEMBL2325095_diffdock_10,2624340.804623
CHEMBL474342_diffdock_1,3560.699807
CHEMBL474342_diffdock_2,3322.951190
CHEMBL474342_diffdock_3,5344.171608
CHEMBL474342_diffdock_4,12409.990885
CHEMBL474342_diffdock_5,10084359.471246
CHEMBL474342_diffdock_6,564150225.312305
CHEMBL474342_diffdock_7,319173.586920
CHEMBL474342_diffdock_8,205017.517591
CHEMBL474342_diffdock_9,304991.974455
CHEMBL474342_diffdock_10,10912.752563
CHEMBL4757145_diffdock_1,905104.274713
CHEMBL4757145_diffdock_2,32687066723.426575
CHEMBL4757145_diffdock_3,359.384094
CHEMBL4757145_diffdock_4,875026354.696588
CHEMBL4757145_diffdock_5,41139.202617
CHEMBL4757145_diffdock_6,677483119.949186
CHEMBL4757145_diffdock_7,110040070.553198
CHEMBL4757145_diffdock_8,191029.920371
CHEMBL4757145_diffdock_9,2985215.897247
CHEMBL4757145_diffdock_10,3167717112.369650
CHEMBL2385960_diffdock_1,1233.975564
CHEMBL2385960_diffdock_2,20135.797397
CHEMBL2385960_diffdock_3,681230.397596
CHEMBL2385960_diffdock_4,1030.109356
CHEMBL2385960_diffdock_5,847173.266435
CHEMBL2385960_diffdock_6,6939374.547852
CHEMBL2385960_diffdock_7,102778535.566327
CHEMBL2385960_diffdock_8,11789752.215353
CHEMBL2385960_diffdock_9,4148420.841123
CHEMBL2385960_diffdock_10,17633233.509209
CHEMBL3676368_diffdock_1,969886.279645
CHEMBL3676368_diffdock_2,83205.658975
CHEMBL3676368_diffdock_3,873.793879
CHEMBL3676368_diffdock_4,354285.198904
CHEMBL3676368_diffdock_5,7551.753829
CHEMBL3676368_diffdock_6,290810084.898050
CHEMBL3676368_diffdock_7,197105.251340
CHEMBL3676368_diffdock_8,4634655.268703
CHEMBL3676368_diffdock_9,6711380.181571
CHEMBL3676368_diffdock_10,5941.030719
CHEMBL460723_diffdock_1,164.544262
CHEMBL460723_diffdock_2,13179877.853439
CHEMBL460723_diffdock_3,19449194.453830
CHEMBL460723_diffdock_4,24.862675
CHEMBL460723_diffdock_5,86883.661699
CHEMBL460723_diffdock_6,82092.822910
CHEMBL460723_diffdock_7,3570499620.707217
CHEMBL460723_diffdock_8,252631.075923
CHEMBL460723_diffdock_9,218.653636
CHEMBL460723_diffdock_10,342523663.746739
CHEMBL310580_diffdock_1,8960976.244027
CHEMBL310580_diffdock_2,400975737.879626
CHEMBL310580_diffdock_3,99465.652925
CHEMBL310580_diffdock_4,527708.769321
CHEMBL310580_diffdock_5,9066.573866
CHEMBL310580_diffdock_6,23098066.164583
CHEMBL310580_diffdock_7,319454.281292
CHEMBL310580_diffdock_8,1742386.770383
CHEMBL310580_diffdock_9,815.517196
CHEMBL310580_diffdock_10,100323607.846148
CHEMBL2426289_diffdock_1,30567.277631
CHEMBL2426289_diffdock_2,11709119.659266
CHEMBL2426289_diffdock_3,25423558.065830
CHEMBL2426289_diffdock_4,7140.824723
CHEMBL2426289_diffdock_5,1328904.235981
CHEMBL2426289_diffdock_6,7911.217544
CHEMBL2426289_diffdock_7,91825.213934
CHEMBL2426289_diffdock_8,11295671.044294
CHEMBL2426289_diffdock_9,91113069.978179
CHEMBL2426289_diffdock_10,100323607.846148
CHEMBL1241390_diffdock_1,1495.593667
CHEMBL1241390_diffdock_2,5.377835
CHEMBL1241390_diffdock_3,9474.933996
CHEMBL1241390_diffdock_4,484.764812
CHEMBL1241390_diffdock_5,484.752119
CHEMBL1241390_diffdock_6,484.746250
CHEMBL1241390_diffdock_7,16.313074
CHEMBL1241390_diffdock_8,5.373631
CHEMBL1241390_diffdock_9,2909.696436
CHEMBL1241390_diffdock_10,357.817698
CHEMBL3939429_diffdock_1,87.027560
CHEMBL3939429_diffdock_2,76.840350
CHEMBL3939429_diffdock_3,84.441501
CHEMBL3939429_diffdock_4,43.016630
CHEMBL3939429_diffdock_5,597229.697974
CHEMBL3939429_diffdock_6,43.145919
CHEMBL3939429_diffdock_7,83393511.097845
CHEMBL3939429_diffdock_8,568.491752
CHEMBL3939429_diffdock_9,44911.713229
CHEMBL3939429_diffdock_10,100323607.846148
CHEMBL2337363_diffdock_1,1147.068815
CHEMBL2337363_diffdock_2,1486.645556
CHEMBL2337363_diffdock_3,49100116.660503
CHEMBL2337363_diffdock_4,56921.813538
CHEMBL2337363_diffdock_5,56560782.714568
CHEMBL2337363_diffdock_6,49086914.091938
CHEMBL2337363_diffdock_7,407143950.407751
CHEMBL2337363_diffdock_8,24892.805860
CHEMBL2337363_diffdock_9,55578075.229147
CHEMBL2337363_diffdock_10,100323607.846148
CHEMBL1241679_diffdock_1,569473610.090752
CHEMBL1241679_diffdock_2,10437.900254
CHEMBL1241679_diffdock_3,570991971.547344
CHEMBL1241679_diffdock_4,10151.080121
CHEMBL1241679_diffdock_5,10350.110863
CHEMBL1241679_diffdock_6,10306.102602
CHEMBL1241679_diffdock_7,15833.830050
CHEMBL1241679_diffdock_8,17366.543497
CHEMBL1241679_diffdock_9,1732365130.468224
CHEMBL1241679_diffdock_10,10550555.265402
CHEMBL3799345_diffdock_1,193434.772645
CHEMBL3799345_diffdock_2,396415.623623
CHEMBL3799345_diffdock_3,769165.282392
CHEMBL3799345_diffdock_4,22359195.490820
CHEMBL3799345_diffdock_5,14830416.135517
CHEMBL3799345_diffdock_6,5969030214.633825
CHEMBL3799345_diffdock_7,270553722.949991
CHEMBL3799345_diffdock_8,9509187.890001
CHEMBL3799345_diffdock_9,112035132.613657
CHEMBL3799345_diffdock_10,614691986.589447
CHEMBL4098412_diffdock_1,423545.848937
CHEMBL4098412_diffdock_2,468910.194797
CHEMBL4098412_diffdock_3,1148654.116212
CHEMBL4098412_diffdock_4,5960746.961368
CHEMBL4098412_diffdock_5,645155.444167
CHEMBL4098412_diffdock_6,663279.328772
CHEMBL4098412_diffdock_7,130880.779766
CHEMBL4098412_diffdock_8,1724890.989614
CHEMBL4098412_diffdock_9,616456.777607
CHEMBL4098412_diffdock_10,715259.703143
CHEMBL158797_diffdock_1,11945.941664
CHEMBL158797_diffdock_2,1499847.523098
CHEMBL158797_diffdock_3,95122.409565
CHEMBL158797_diffdock_4,2381042.006884
CHEMBL158797_diffdock_5,780839.549939
CHEMBL158797_diffdock_6,63564.074368
CHEMBL158797_diffdock_7,307302.952875
CHEMBL158797_diffdock_8,35006727.596057
CHEMBL158797_diffdock_9,36873153.407759
CHEMBL158797_diffdock_10,49326.603618
CHEMBL5195593_diffdock_1,8835836.662428
CHEMBL5195593_diffdock_2,74928206701.445648
CHEMBL5195593_diffdock_3,363969527.325774
CHEMBL5195593_diffdock_4,4181231423.373443
CHEMBL5195593_diffdock_5,1244.360654
CHEMBL5195593_diffdock_6,89337715.690536
CHEMBL5195593_diffdock_7,523954586.254446
CHEMBL5195593_diffdock_8,85707825.546813
CHEMBL5195593_diffdock_9,9899.371745
CHEMBL5195593_diffdock_10,135671005.994412
CHEMBL186080_diffdock_1,269296.905201
CHEMBL186080_diffdock_2,14147.685765
CHEMBL186080_diffdock_3,14148.681464
CHEMBL186080_diffdock_4,18963.444302
CHEMBL186080_diffdock_5,23741.740751
CHEMBL186080_diffdock_6,17000.040669
CHEMBL186080_diffdock_7,23742.780819
CHEMBL186080_diffdock_8,17000.186013
CHEMBL186080_diffdock_9,14151.338357
CHEMBL186080_diffdock_10,19021287.416666
CHEMBL544538_diffdock_1,11628.810652
CHEMBL544538_diffdock_2,1903.929115
CHEMBL544538_diffdock_3,29636.294380
CHEMBL544538_diffdock_4,1437.273950
CHEMBL544538_diffdock_5,4970.012716
CHEMBL544538_diffdock_6,473605.508580
CHEMBL544538_diffdock_7,2072170.689595
CHEMBL544538_diffdock_8,49855117.601938
CHEMBL544538_diffdock_9,366488.553696
CHEMBL544538_diffdock_10,167860.849513
CHEMBL194337_diffdock_1,420.605402
CHEMBL194337_diffdock_2,289871.129401
CHEMBL194337_diffdock_3,5944.028977
CHEMBL194337_diffdock_4,296.488984
CHEMBL194337_diffdock_5,19.322334
CHEMBL194337_diffdock_6,508910.290530
CHEMBL194337_diffdock_7,148.568308
CHEMBL194337_diffdock_8,25751.779398
CHEMBL194337_diffdock_9,34028.737314
CHEMBL194337_diffdock_10,55567.863185
CHEMBL4218320_diffdock_1,127014.005469
CHEMBL4218320_diffdock_2,18533903.830372
CHEMBL4218320_diffdock_3,2158764.501953
CHEMBL4218320_diffdock_4,9173537.432091
CHEMBL4218320_diffdock_5,2185890.098976
CHEMBL4218320_diffdock_6,767378.632042
CHEMBL4218320_diffdock_7,41916.271481
CHEMBL4218320_diffdock_8,1500535905.579819
CHEMBL4218320_diffdock_9,83231.829659
CHEMBL4218320_diffdock_10,57595.839855
CHEMBL473748_diffdock_1,2029.029973
CHEMBL473748_diffdock_2,149238.003244
CHEMBL473748_diffdock_3,10872941.219707
CHEMBL473748_diffdock_4,34271.592373
CHEMBL473748_diffdock_5,18094.849079
CHEMBL473748_diffdock_6,4322608.518513
CHEMBL473748_diffdock_7,1076.679569
CHEMBL473748_diffdock_8,10177188.072452
CHEMBL473748_diffdock_9,8250.411606
CHEMBL473748_diffdock_10,22691.038945
CHEMBL3921017_diffdock_1,131166.220990
CHEMBL3921017_diffdock_2,55686596332.361534
CHEMBL3921017_diffdock_3,3612109095.531186
CHEMBL3921017_diffdock_4,244774276.635392
CHEMBL3921017_diffdock_5,8258280566.894625
CHEMBL3921017_diffdock_6,512689041.509288
CHEMBL3921017_diffdock_7,165188386.211348
CHEMBL3921017_diffdock_8,7995.074989
CHEMBL3921017_diffdock_9,4671164.005501
CHEMBL3921017_diffdock_10,16710.696039
CHEMBL4855850_diffdock_1,800.378108
CHEMBL4855850_diffdock_2,151.727649
CHEMBL4855850_diffdock_3,3631.341800
CHEMBL4855850_diffdock_4,29.214619
CHEMBL4855850_diffdock_5,0.090823
CHEMBL4855850_diffdock_6,6224111.366397
CHEMBL4855850_diffdock_7,538711780657560.312500
CHEMBL4855850_diffdock_8,896143884.731730
CHEMBL4855850_diffdock_9,6677.538211
CHEMBL4855850_diffdock_10,8633.365848
CHEMBL3357639_diffdock_1,4002.445805
CHEMBL3357639_diffdock_2,123.768906
