ID,CNNscore,CNNaffinity,LinF9,RTMScore,CHEMPLP,rfscore_v1,vina_hydrophobic,vina_intra_hydrophobic,id,docking_tool,true_value,activity_class
CHEMBL3133894_diffdock_1,0.2007944733,5.9506015778,-2.78843,12.680828380477378,-54.4902,6.906078491175487,42.71151763833108,8.39414193183845,CHEMBL3133894,diffdock,5.552842,0
CHEMBL3133894_diffdock_10,0.0190876033,4.9313297272,15.04565,13.85398688221162,-53.3071,6.810735940836936,72.96326102976273,7.308949130744768,CHEMBL3133894,diffdock,5.552842,0
CHEMBL3133894_diffdock_2,0.0288000945,5.3353395462,-2.86049,17.121488275109943,-66.0966,6.955249518648016,58.530250781100136,7.730670253058673,CHEMBL3133894,diffdock,5.552842,0
CHEMBL3133894_diffdock_3,0.0336609147,5.4185428619,-2.82138,13.92134668704111,-63.1833,7.000572566988565,56.11634952551687,7.408636863489029,CHEMBL3133894,diffdock,5.552842,0
CHEMBL3133894_diffdock_4,0.1148258671,5.6161956787,-0.64802,14.013121392218556,51.9728,6.901952568376064,47.05158211767644,9.76262732963794,CHEMBL3133894,diffdock,5.552842,0
CHEMBL3133894_diffdock_5,0.093236044,5.3274908066,1.59965,13.4388232316765,-52.0414,6.764999056277054,69.34320346970183,6.997732667884373,CHEMBL3133894,diffdock,5.552842,0
CHEMBL3133894_diffdock_6,0.0332314819,5.2502641678,6.29581,13.92818097102902,-50.4013,6.796305723665219,64.95229255905257,8.659408913560863,CHEMBL3133894,diffdock,5.552842,0
CHEMBL3133894_diffdock_7,0.0497701317,5.3421707153,4.36838,12.966594187841991,-39.6993,6.815584862748357,75.87130554658827,8.603032214259603,CHEMBL3133894,diffdock,5.552842,0
CHEMBL3133894_diffdock_8,0.0495441854,5.2303695679,8.19421,12.991364025782454,-57.8294,6.76855094155844,80.46421246425733,8.291472292940004,CHEMBL3133894,diffdock,5.552842,0
CHEMBL3133894_diffdock_9,0.0187133625,4.9646205902,11.67998,12.511650068478998,-44.5243,6.83815802453102,67.82466077537885,7.790605844627896,CHEMBL3133894,diffdock,5.552842,0
