ID,CNNscore,CNNaffinity,smina_affinity,LinF9,RTMScore,Vinardo,CHEMPLP,rfscore_v1,rfscore_v3,vina_hydrophobic,vina_intra_hydrophobic
CHEMBL3133894_diffdock_1,0.2007944733,5.9506015778,6.40018,-2.78843,12.680828380477378,11.11829,-54.4902,6.906078491175487,6.719627731435229,42.71151763833108,8.39414193183845
CHEMBL3133894_diffdock_10,0.0190876033,4.9313297272,53.92138,15.04565,13.85398688221162,66.81385,-53.3071,6.810735940836936,6.509474213231213,72.96326102976273,7.308949130744768
CHEMBL3133894_diffdock_2,0.0288000945,5.3353395462,3.76706,-2.86049,17.121488275109943,7.19483,-66.0966,6.955249518648016,6.3803934975580034,58.530250781100136,7.730670253058673
CHEMBL3133894_diffdock_3,0.0336609147,5.4185428619,3.13395,-2.82138,13.92134668704111,6.54321,-63.1833,7.000572566988565,6.442943071872578,56.11634952551687,7.408636863489029
CHEMBL3133894_diffdock_4,0.1148258671,5.6161956787,12.197,-0.64802,14.013121392218556,18.69524,51.9728,6.901952568376064,6.592128815129317,47.05158211767644,9.76262732963794
CHEMBL3133894_diffdock_5,0.093236044,5.3274908066,18.8624,1.59965,13.4388232316765,26.67148,-52.0414,6.764999056277054,6.544453971916972,69.34320346970183,6.997732667884373
CHEMBL3133894_diffdock_6,0.0332314819,5.2502641678,28.63052,6.29581,13.92818097102902,37.93228,-50.4013,6.796305723665219,6.483878372682875,64.95229255905257,8.659408913560863
CHEMBL3133894_diffdock_7,0.0497701317,5.3421707153,23.7688,4.36838,12.966594187841991,32.02586,-39.6993,6.815584862748357,6.563690161671659,75.87130554658827,8.603032214259603
CHEMBL3133894_diffdock_8,0.0495441854,5.2303695679,35.83752,8.19421,12.991364025782454,46.0172,-57.8294,6.76855094155844,6.547221354811852,80.46421246425733,8.291472292940004
CHEMBL3133894_diffdock_9,0.0187133625,4.9646205902,45.13961,11.67998,12.511650068478998,56.28251,-44.5243,6.83815802453102,6.512723162171161,67.82466077537885,7.790605844627896
CHEMBL3133894_gnina_1,0.5547710657,6.5197229385,-8.46528,-7.73345,13.876927027452126,-7.60711,-67.8266,6.838084981629475,6.622366028693524,54.20502345169781,12.853620044612104
CHEMBL3133894_gnina_10,0.3283072412,5.939538002,-7.77343,-6.44919,15.617781127162315,-6.62267,-30.9315,6.728525885614382,6.426074232212227,54.44334976932239,6.529591321864199
CHEMBL3133894_gnina_2,0.5254711509,6.5954313278,-6.57913,-6.39523,12.241796273560269,-4.76752,-56.6841,6.806716035742027,6.461531147741147,48.35029727613812,9.3469953335043
CHEMBL3133894_gnina_3,0.4257034063,5.6448383331,-6.1082,-5.90787,21.176711868584697,-6.0401,-53.136,6.689556272727272,6.285413304600628,32.3594925546453,8.331325707288746
CHEMBL3133894_gnina_4,0.4160864651,6.3841686249,-7.63476,-7.53633,6.7389725746776605,-5.93528,45.1547,6.83483591269841,6.5464221600066566,49.201296660447,5.744850397513579
CHEMBL3133894_gnina_5,0.3632603288,4.9795722961,-5.77705,-5.38218,16.045669035595008,-5.51963,-46.5792,5.756731828282834,5.679287385059388,26.72017168710194,11.095614320457772
CHEMBL3133894_gnina_6,0.3685455322,6.15782547,-7.2201,-6.50791,13.230902502427806,-6.47735,-52.2683,6.89367403613053,6.456270877344879,35.44169728090432,12.998724126821338
CHEMBL3133894_gnina_7,0.3599741459,6.3474435806,-6.89896,-6.86156,14.56519595682234,-5.54766,-64.9369,6.904952252358747,6.68324349100899,37.79356703403611,16.074411332680487
CHEMBL3133894_gnina_8,0.3581691384,6.0745801926,-7.85827,-6.65524,16.976262629383488,-6.76043,-61.7913,6.974526034687527,6.606204555516378,38.69897479038331,8.766200453690407
CHEMBL3133894_gnina_9,0.3199234009,6.0123634338,-7.38677,-6.99893,14.785916173080643,-6.5495,-58.5346,6.900508330225324,6.46704073792874,47.76286694182379,7.314450176198902
CHEMBL3133894_plants_01,0.1925093681,5.8744029999,-7.72152,-6.9712,13.630339100994592,-7.21173,-73.6791,6.870829251859246,6.45638947097347,48.71427390919212,4.258578836337014
CHEMBL3133894_plants_02,0.4504241347,5.8813400269,-7.15436,-6.66345,13.730874313126671,-6.62684,-72.9539,6.643339024142519,6.467337790892109,42.22522083761672,5.313941436643269
CHEMBL3133894_plants_03,0.647383213,6.650147438,-8.08659,-7.28921,12.554529442690598,-6.89823,-72.9386,6.762601727661223,6.676157929847924,62.58856168662452,11.9272331585202
CHEMBL3133894_plants_04,0.2399991155,6.1398496628,-6.587,-6.84706,9.97208254107667,-4.9039,-70.7484,6.769070961038957,6.597572654361979,40.41836666138951,7.675984373962306
CHEMBL3133894_plants_05,0.8054490685,6.572470665,-7.78997,-7.06246,11.052860400357138,-7.16563,-70.0045,6.87283862271062,6.606915076590076,45.789027918848674,11.68632787468314
CHEMBL3133894_plants_06,0.1488194317,5.9443120956,-6.65721,-6.53533,14.108498541264035,-5.03514,-70.0069,6.9006920193695125,6.505382929736927,53.19141422097238,4.64396493742958
CHEMBL3133894_plants_07,0.1843843907,5.9293956757,-7.27951,-6.72505,9.56165967136688,-5.82178,-69.6978,6.968611786047281,6.569748408036402,50.11505602309568,5.050293521399723
CHEMBL3133894_plants_08,0.3554210365,6.539978981,-6.69625,-6.69763,11.522757327406996,-5.39709,-68.3576,6.8672091688311605,6.6972789211899215,62.30505543792808,12.126268581411846
CHEMBL3133894_plants_09,0.3711020052,6.2454662323,-6.94236,-6.63206,15.05039461829585,-5.88474,-67.6562,6.982498523254519,6.735317284382281,44.5281616892612,9.636779312740746
CHEMBL3133894_plants_10,0.1837029159,5.923406601,-6.7805,-6.33081,15.993486374789857,-5.78164,-66.8972,7.147127194694193,6.645772014430014,47.71430856015477,16.652524522904045
CHEMBL3133894_smina_1,0.5533083677,6.5269565582,-8.46528,-7.30676,13.876926761326054,-7.60711,-67.8266,6.838084981629473,6.622366028693524,54.20502345169781,12.853620044612104
CHEMBL3133894_smina_10,0.2653566301,6.1403093338,-7.19469,-7.37444,13.009139369483114,-6.03824,-63.7086,6.962627059773557,6.694595953546451,46.619190305260375,6.085798447519922
CHEMBL3133894_smina_2,0.2651515901,6.1283988953,-8.33697,-7.70665,6.050591158503332,-7.19987,-44.1724,6.94983039072038,6.630116944832937,58.58718675931268,4.97425655856717
CHEMBL3133894_smina_3,0.3314140439,6.0805702209,-7.85827,-6.65524,16.976262629383488,-6.76043,-61.7913,6.974526034687526,6.606204555516377,38.69897479038331,8.766200453690407
CHEMBL3133894_smina_4,0.3250685036,5.9438199997,-7.77343,-6.44919,15.617781127162315,-6.62267,-30.9315,6.728525885614382,6.426074232212226,54.44334976932239,6.529591321864199
CHEMBL3133894_smina_5,0.2317111194,5.9101572037,-7.75244,-7.40447,14.762081116156123,-7.34976,-72.3215,6.831579616938611,6.416346670107668,46.07754438416855,4.415267974492672
CHEMBL3133894_smina_6,0.411588341,6.3859643936,-7.63476,-7.58109,6.7389725746776605,-5.93528,45.1547,6.83483591269841,6.5464221600066566,49.201296660447,5.744850397513579
CHEMBL3133894_smina_7,0.3303236365,6.0022249222,-7.38677,-6.40351,14.785916173080643,-6.5495,-58.5346,6.900508330225324,6.467040737928739,47.76286694182379,7.314450176198902
CHEMBL3133894_smina_8,0.1938309073,5.8138418198,-7.25685,-6.89424,13.92352611711809,-6.55439,-52.4282,6.894193816350311,6.485722423537246,39.04425596748665,11.393668497031044
CHEMBL3133894_smina_9,0.3573417664,6.1616754532,-7.2201,-6.9346,13.230902502427806,-6.47735,-52.2683,6.89367403613053,6.456270877344879,35.44169728090432,12.998724126821338
CHEMBL460721_diffdock_1,0.4143343568,6.2619657516,6.77582,-0.81342,12.26115499966234,10.65905,427.755,7.688918500499494,7.440571193362193,47.65733150691352,12.617398554727952
CHEMBL460721_diffdock_10,0.2696816325,5.9860200882,8.30113,0.70735,10.96434691218613,12.24397,90.3057,7.801364527250522,7.121803623376628,51.45721748120656,13.140863244464011
CHEMBL460721_diffdock_2,0.1603561789,6.5486097336,7.72585,-0.49422,11.771039596131596,12.36054,-6.16601,7.7178274245199185,7.363136019480522,60.262727299623904,16.634417016619476
CHEMBL460721_diffdock_3,0.21105434,6.0360002518,8.45828,0.18093,12.276426694929336,12.73315,47.4769,7.726253729603726,7.302451665223669,53.27415209460615,14.617493139414057
CHEMBL460721_diffdock_4,0.0633443296,5.7142248154,15.55933,4.00465,13.91163437891904,21.55592,-22.1873,7.689062184149178,7.220776369408371,58.26558461451454,15.289789205353271
CHEMBL460721_diffdock_5,0.1485829055,6.4036283493,4.96535,-1.30494,12.337038353966118,8.40264,-35.3922,7.738535591075587,7.373408345154848,50.04315744364282,18.36837125480911
CHEMBL460721_diffdock_6,0.5065277219,6.0389595032,9.49052,1.34403,12.69893078841171,14.42285,44.2408,7.730882189199684,7.186496826673329,51.53144190207951,11.062157939243235
CHEMBL460721_diffdock_7,0.1761304438,5.9814453125,8.79481,0.68263,10.919612581231547,13.16527,22.3589,7.665493338550331,7.230767583694087,52.39755148571528,13.890875895679612
CHEMBL460721_diffdock_8,0.0280100647,5.5444145203,24.6838,8.05744,10.755495758371772,33.54181,431.752,7.70080704489954,7.061305215506717,63.69705674059678,13.804812723944568
CHEMBL460721_diffdock_9,0.1907240599,5.8278446198,5.89724,-0.64336,12.52073447650641,9.21469,269.843,7.810231162171157,7.107552003108015,54.75070656898934,13.592339630524211
CHEMBL460721_gnina_1,0.8529469371,7.5326013565,-7.37936,-7.93282,16.02858652807756,-8.39334,-16.4032,7.721430132201123,7.515753412587405,43.86578279353474,23.57059952291373
CHEMBL460721_gnina_10,0.4927340746,7.1313171387,-7.35175,-7.35255,13.007525224623649,-8.12197,318.301,7.774722814740812,7.410401499722489,39.91433940554767,27.918779747776576
CHEMBL460721_gnina_2,0.7915649414,7.6741895676,-7.00137,-7.22355,16.908794282295712,-8.0831,-16.3627,7.750918371017865,7.473101659673652,36.72400621059369,26.889488779199013
CHEMBL460721_gnina_3,0.6950133443,7.156619072,-7.6113,-7.05741,21.74758803040656,-8.5001,-41.6977,7.782281532412034,7.526053388000881,45.95037546089728,15.674434197804112
CHEMBL460721_gnina_4,0.6289763451,7.1152210236,-7.35967,-6.61996,22.00982179231894,-8.224,-26.8569,7.771116064158062,7.5425410154845105,47.66417256372793,13.477949431269082
CHEMBL460721_gnina_5,0.6165164113,6.6307134628,-6.5213,-6.2716,17.10679816635661,-6.77075,-36.3289,7.739912556443556,7.225467023310018,39.14491652630132,14.306902305912828
CHEMBL460721_gnina_6,0.5749217272,7.5022239685,-6.52189,-6.8633,13.46911247070831,-6.41202,-30.7899,7.701918497280491,7.425325440503935,32.28108606408656,39.60088618829854
CHEMBL460721_gnina_7,0.5458815098,7.0383358002,-6.38431,-6.16895,17.433307054219934,-6.9702,-45.3239,7.719974344877343,7.222695631146632,34.877147693987595,19.08879252803468
CHEMBL460721_gnina_8,0.5313700438,7.078587532,-7.45247,-7.16021,20.83368516632548,-8.05822,-1.4524,7.743997567654568,7.168120033022534,51.0472879801022,15.18583124242807
CHEMBL460721_gnina_9,0.5217507482,7.3898820877,-7.17004,-7.33293,9.4245463725093,-6.73226,349.26,7.705295268453758,7.210277066877563,44.81863783500414,41.21443959607629
CHEMBL460721_plants_01,0.4603765309,7.4589128494,-6.41816,-6.92343,19.31558507887657,-6.37954,-87.4059,7.689037251859245,7.283102568931066,43.1255502892385,22.853545054937584
CHEMBL460721_plants_02,0.0190261863,6.9552526474,-6.38325,-7.43946,17.08517941112205,-4.981,-87.1857,7.796747131479627,7.232139194472194,54.304821736685454,16.132798859261786
