ID,CNNaffinity
CHEMBL367625_diffdock_6,7.0229673386
CHEMBL367625_diffdock_7,7.0966148376
CHEMBL367625_diffdock_8,6.1652984619
CHEMBL367625_diffdock_9,6.1065521240
CHEMBL5192038_diffdock_1,5.2619314194
CHEMBL5192038_diffdock_2,5.6179046631
CHEMBL5192038_diffdock_3,5.3676748276
CHEMBL5192038_diffdock_4,5.4608726501
CHEMBL5192038_diffdock_5,5.2168560028
CHEMBL5192038_diffdock_6,5.1703910828
CHEMBL5192038_diffdock_7,5.2154703140
CHEMBL5192038_diffdock_8,5.0535888672
CHEMBL5192038_diffdock_9,5.1040410995
CHEMBL5192038_diffdock_10,5.2438516617
CHEMBL3087206_diffdock_1,8.0250549316
CHEMBL3087206_diffdock_2,7.6055011749
CHEMBL3087206_diffdock_3,7.4295511246
CHEMBL3087206_diffdock_4,7.0519275665
CHEMBL3087206_diffdock_5,6.9173049927
CHEMBL3087206_diffdock_6,7.0873985291
CHEMBL3087206_diffdock_7,6.9715566635
CHEMBL3087206_diffdock_8,6.6992797852
CHEMBL3087206_diffdock_9,7.0410060883
CHEMBL3087206_diffdock_10,6.9196262360
CHEMBL1645466_diffdock_1,5.8425846100
CHEMBL1645466_diffdock_2,5.9628725052
CHEMBL1645466_diffdock_3,5.9458808899
CHEMBL1645466_diffdock_4,6.2417526245
CHEMBL1645466_diffdock_5,6.0882978439
CHEMBL1645466_diffdock_6,6.3864593506
CHEMBL1645466_diffdock_7,6.0174436569
CHEMBL1645466_diffdock_8,5.8069133759
CHEMBL1645466_diffdock_9,5.8049716949
CHEMBL1645466_diffdock_10,5.5072507858
CHEMBL450319_diffdock_1,4.9538717270
CHEMBL450319_diffdock_2,4.6938295364
CHEMBL450319_diffdock_3,4.6623058319
CHEMBL450319_diffdock_4,4.7182054520
CHEMBL450319_diffdock_5,4.6899576187
CHEMBL450319_diffdock_6,4.5550165176
CHEMBL450319_diffdock_7,4.2881917953
CHEMBL450319_diffdock_8,4.4231367111
CHEMBL450319_diffdock_9,4.4334707260
CHEMBL450319_diffdock_10,3.2444119453
CHEMBL3758875_diffdock_1,6.2485113144
CHEMBL3758875_diffdock_2,6.5384912491
CHEMBL3758875_diffdock_3,6.5552320480
CHEMBL3758875_diffdock_4,6.1241502762
CHEMBL3758875_diffdock_5,6.4710988998
CHEMBL3758875_diffdock_6,6.5780086517
CHEMBL3758875_diffdock_7,6.3250055313
CHEMBL3758875_diffdock_8,6.3829860687
CHEMBL3758875_diffdock_9,6.5382261276
CHEMBL3758875_diffdock_10,6.3103618622
CHEMBL5169900_diffdock_1,6.1087617874
CHEMBL5169900_diffdock_2,6.0548810959
CHEMBL5169900_diffdock_3,5.5799217224
CHEMBL5169900_diffdock_4,6.2423849106
CHEMBL5169900_diffdock_5,5.7895269394
CHEMBL5169900_diffdock_6,5.7687635422
CHEMBL5169900_diffdock_7,5.9393539429
CHEMBL5169900_diffdock_8,4.8470277786
CHEMBL5169900_diffdock_9,4.6532459259
CHEMBL5169900_diffdock_10,4.3448266983
CHEMBL3676384_diffdock_1,6.7654685974
CHEMBL3676384_diffdock_2,6.7860002518
CHEMBL3676384_diffdock_3,6.6573104858
CHEMBL3676384_diffdock_4,6.7091693878
CHEMBL3676384_diffdock_5,6.6654310226
CHEMBL3676384_diffdock_6,6.4087324142
CHEMBL3676384_diffdock_7,6.5638999939
CHEMBL3676384_diffdock_8,6.1719369888
CHEMBL3676384_diffdock_9,6.3819303513
CHEMBL3676384_diffdock_10,6.4432487488
CHEMBL14932_diffdock_1,5.9562683105
CHEMBL14932_diffdock_2,6.2643642426
CHEMBL14932_diffdock_3,6.4652175903
CHEMBL14932_diffdock_4,5.9400920868
CHEMBL14932_diffdock_5,6.1448507309
CHEMBL14932_diffdock_6,5.7959289551
CHEMBL14932_diffdock_7,6.1300964355
CHEMBL14932_diffdock_8,5.4397058487
CHEMBL14932_diffdock_9,5.9480457306
CHEMBL14932_diffdock_10,5.0419750214
CHEMBL3436355_diffdock_1,6.7960186005
CHEMBL3436355_diffdock_2,6.9135866165
CHEMBL3436355_diffdock_3,6.8193016052
CHEMBL3436355_diffdock_4,6.8441429138
CHEMBL3436355_diffdock_5,6.8418769836
CHEMBL3436355_diffdock_6,6.7220420837
CHEMBL3436355_diffdock_7,6.8960018158
CHEMBL3436355_diffdock_8,6.7935190201
CHEMBL3436355_diffdock_9,6.6520853043
CHEMBL3436355_diffdock_10,5.6908311844
CHEMBL4745521_diffdock_1,7.0248603821
CHEMBL4745521_diffdock_2,6.5776281357
CHEMBL4745521_diffdock_3,6.4400968552
CHEMBL4745521_diffdock_4,6.4797906876
CHEMBL4745521_diffdock_5,6.6749420166
CHEMBL4745521_diffdock_6,6.6753740311
CHEMBL4745521_diffdock_7,6.5708036423
CHEMBL4745521_diffdock_8,6.8428354263
CHEMBL4745521_diffdock_9,6.9165678024
CHEMBL4745521_diffdock_10,5.5039606094
CHEMBL154911_diffdock_1,5.8760080338
CHEMBL154911_diffdock_2,5.3998050690
CHEMBL154911_diffdock_3,5.1147909164
CHEMBL154911_diffdock_4,4.9722805023
CHEMBL154911_diffdock_5,5.0027732849
CHEMBL154911_diffdock_6,4.7658214569
CHEMBL154911_diffdock_7,4.9678153992
CHEMBL154911_diffdock_8,5.1772260666
CHEMBL154911_diffdock_9,5.3209667206
CHEMBL154911_diffdock_10,4.6513509750
CHEMBL57347_diffdock_1,6.7952184677
CHEMBL57347_diffdock_2,6.7339439392
CHEMBL57347_diffdock_3,6.8375434875
CHEMBL57347_diffdock_4,6.6053085327
CHEMBL57347_diffdock_5,6.8657531738
CHEMBL57347_diffdock_6,6.6688022614
CHEMBL57347_diffdock_7,6.5152740479
CHEMBL57347_diffdock_8,6.6550436020
CHEMBL57347_diffdock_9,7.0036182404
CHEMBL57347_diffdock_10,6.7204866409
CHEMBL395591_diffdock_1,7.2191143036
CHEMBL395591_diffdock_2,6.3266763687
CHEMBL395591_diffdock_3,5.9853582382
CHEMBL395591_diffdock_4,6.3204259872
CHEMBL395591_diffdock_5,5.8408784866
CHEMBL395591_diffdock_6,6.3845796585
CHEMBL395591_diffdock_7,5.8500976562
CHEMBL395591_diffdock_8,5.7922849655
CHEMBL395591_diffdock_9,5.3921842575
CHEMBL395591_diffdock_10,6.1602535248
CHEMBL59812_diffdock_1,7.2217884064
CHEMBL59812_diffdock_2,6.7303333282
CHEMBL59812_diffdock_3,5.9258432388
CHEMBL59812_diffdock_4,6.7782630920
CHEMBL59812_diffdock_5,6.3930177689
CHEMBL59812_diffdock_6,6.5171737671
CHEMBL59812_diffdock_7,6.2345085144
CHEMBL59812_diffdock_8,6.7673645020
CHEMBL59812_diffdock_9,5.9683570862
CHEMBL59812_diffdock_10,6.4393014908
CHEMBL1242973_diffdock_1,5.0810117722
CHEMBL1242973_diffdock_2,4.8519086838
CHEMBL1242973_diffdock_3,4.5785408020
CHEMBL1242973_diffdock_4,4.9964046478
CHEMBL1242973_diffdock_5,4.5691671371
CHEMBL1242973_diffdock_6,4.7439308167
CHEMBL1242973_diffdock_7,5.0447473526
CHEMBL1242973_diffdock_8,4.3077239990
CHEMBL1242973_diffdock_9,4.2180023193
CHEMBL1242973_diffdock_10,4.0118570328
CHEMBL5077776_diffdock_1,6.5147409439
CHEMBL5077776_diffdock_2,6.3679008484
CHEMBL5077776_diffdock_3,6.3849601746
CHEMBL5077776_diffdock_4,6.3864336014
CHEMBL5077776_diffdock_5,6.4670801163
CHEMBL5077776_diffdock_6,6.2777080536
CHEMBL5077776_diffdock_7,6.2774753571
CHEMBL5077776_diffdock_8,6.4009666443
CHEMBL5077776_diffdock_9,5.8091154099
CHEMBL5077776_diffdock_10,4.9271478653
CHEMBL1630114_diffdock_1,7.1767845154
CHEMBL1630114_diffdock_2,6.9641304016
CHEMBL1630114_diffdock_3,7.2347030640
CHEMBL1630114_diffdock_4,6.5961408615
CHEMBL1630114_diffdock_5,6.7135105133
CHEMBL1630114_diffdock_6,7.1789865494
CHEMBL1630114_diffdock_7,6.4552602768
CHEMBL1630114_diffdock_8,6.2359972000
CHEMBL1630114_diffdock_9,6.7055664062
CHEMBL1630114_diffdock_10,6.9166584015
CHEMBL3237939_diffdock_1,6.5455770493
CHEMBL3237939_diffdock_2,6.6757278442
CHEMBL3237939_diffdock_3,6.3784713745
CHEMBL3237939_diffdock_4,6.5730276108
CHEMBL3237939_diffdock_5,6.1263141632
CHEMBL3237939_diffdock_6,6.6218166351
CHEMBL3237939_diffdock_7,5.9086904526
CHEMBL3237939_diffdock_8,5.9598217010
CHEMBL3237939_diffdock_9,5.4997062683
CHEMBL3237939_diffdock_10,5.9867181778
CHEMBL4068695_diffdock_1,7.4034652710
CHEMBL4068695_diffdock_2,7.5791559219
CHEMBL4068695_diffdock_3,7.9304418564
CHEMBL4068695_diffdock_4,7.5178985596
CHEMBL4068695_diffdock_5,7.3971767426
CHEMBL4068695_diffdock_6,6.8293809891
CHEMBL4068695_diffdock_7,7.3355169296
CHEMBL4068695_diffdock_8,7.3423299789
CHEMBL4068695_diffdock_9,6.8568372726
CHEMBL4068695_diffdock_10,6.7619476318
CHEMBL5088102_diffdock_1,6.5363683701
CHEMBL5088102_diffdock_2,6.7025489807
CHEMBL5088102_diffdock_3,6.5414505005
CHEMBL5088102_diffdock_4,6.5356988907
CHEMBL5088102_diffdock_5,6.4416265488
CHEMBL5088102_diffdock_6,6.5572481155
CHEMBL5088102_diffdock_7,6.4994010925
CHEMBL5088102_diffdock_8,6.6163406372
CHEMBL5088102_diffdock_9,6.1971969604
CHEMBL5088102_diffdock_10,5.8130102158
CHEMBL4293134_diffdock_1,5.6379671097
CHEMBL4293134_diffdock_2,5.9937419891
CHEMBL4293134_diffdock_3,6.0659809113
CHEMBL4293134_diffdock_4,5.8494796753
CHEMBL4293134_diffdock_5,5.6797847748
CHEMBL4293134_diffdock_6,5.9679861069
CHEMBL4293134_diffdock_7,5.5237216949
CHEMBL4293134_diffdock_8,5.6726903915
CHEMBL4293134_diffdock_9,5.7597885132
CHEMBL4293134_diffdock_10,5.8469991684
CHEMBL3623286_diffdock_1,6.2246255875
CHEMBL3623286_diffdock_2,6.2873764038
CHEMBL3623286_diffdock_3,6.2798023224
CHEMBL3623286_diffdock_4,6.1591787338
CHEMBL3623286_diffdock_5,6.2265739441
CHEMBL3623286_diffdock_6,5.8017568588
CHEMBL3623286_diffdock_7,5.9911909103
CHEMBL3623286_diffdock_8,5.9364795685
CHEMBL3623286_diffdock_9,5.9962778091
CHEMBL3623286_diffdock_10,5.7001428604
CHEMBL461869_diffdock_1,6.6796331406
CHEMBL461869_diffdock_2,6.7639045715
CHEMBL461869_diffdock_3,6.9561738968
CHEMBL461869_diffdock_4,6.9810857773
CHEMBL461869_diffdock_5,6.5935935974
CHEMBL461869_diffdock_6,6.7215442657
CHEMBL461869_diffdock_7,6.6503438950
CHEMBL461869_diffdock_8,6.8631582260
CHEMBL461869_diffdock_9,6.6464824677
CHEMBL461869_diffdock_10,6.6680374146
CHEMBL2031296_diffdock_1,6.0451984406
CHEMBL2031296_diffdock_2,5.8468904495
CHEMBL2031296_diffdock_3,5.9441480637
CHEMBL2031296_diffdock_4,5.8127059937
CHEMBL2031296_diffdock_5,5.7725515366
CHEMBL2031296_diffdock_6,5.8819780350
CHEMBL2031296_diffdock_7,5.6019735336
CHEMBL2031296_diffdock_8,5.6201419830
CHEMBL2031296_diffdock_9,5.5456981659
CHEMBL2031296_diffdock_10,5.6072187424
CHEMBL466174_diffdock_1,6.8427486420
CHEMBL466174_diffdock_2,6.9503211975
CHEMBL466174_diffdock_3,6.7635183334
CHEMBL466174_diffdock_4,7.0259275436
CHEMBL466174_diffdock_5,6.6128911972
CHEMBL466174_diffdock_6,6.5617256165
CHEMBL466174_diffdock_7,6.6427440643
CHEMBL466174_diffdock_8,6.2991437912
CHEMBL466174_diffdock_9,6.4322729111
CHEMBL466174_diffdock_10,6.4119739532
CHEMBL1945649_diffdock_1,5.8670825958
CHEMBL1945649_diffdock_2,5.7655019760
CHEMBL1945649_diffdock_3,5.9448518753
CHEMBL1945649_diffdock_4,5.5219688416
CHEMBL1945649_diffdock_5,5.5715007782
CHEMBL1945649_diffdock_6,5.1928281784
CHEMBL1945649_diffdock_7,5.3528394699
CHEMBL1945649_diffdock_8,5.2035560608
CHEMBL1945649_diffdock_9,5.5583801270
CHEMBL1945649_diffdock_10,4.9770240784
CHEMBL205149_diffdock_1,6.6818876266
CHEMBL205149_diffdock_2,6.5829248428
CHEMBL205149_diffdock_3,6.5564632416
CHEMBL205149_diffdock_4,6.6650695801
CHEMBL205149_diffdock_5,6.5711231232
CHEMBL205149_diffdock_6,6.6995534897
CHEMBL205149_diffdock_7,6.7841701508
CHEMBL205149_diffdock_8,6.3722438812
CHEMBL205149_diffdock_9,6.4008512497
CHEMBL205149_diffdock_10,6.4603347778
CHEMBL5198812_diffdock_1,6.1492004395
CHEMBL5198812_diffdock_2,6.2079858780
CHEMBL5198812_diffdock_3,5.9590263367
CHEMBL5198812_diffdock_4,5.9716625214
CHEMBL5198812_diffdock_5,5.9338970184
CHEMBL5198812_diffdock_6,6.0560245514
CHEMBL5198812_diffdock_7,5.9275808334
CHEMBL5198812_diffdock_8,6.3233118057
CHEMBL5198812_diffdock_9,5.6602029800
CHEMBL5198812_diffdock_10,5.3560590744
CHEMBL7819_diffdock_1,5.7458066940
CHEMBL7819_diffdock_2,5.7923402786
CHEMBL7819_diffdock_3,5.7700119019
CHEMBL7819_diffdock_4,5.7434806824
CHEMBL7819_diffdock_5,5.7579088211
CHEMBL7819_diffdock_6,5.6865463257
CHEMBL7819_diffdock_7,5.6223382950
CHEMBL7819_diffdock_8,5.8453931808
CHEMBL7819_diffdock_9,5.7076072693
CHEMBL7819_diffdock_10,5.8968334198
CHEMBL5173449_diffdock_1,6.0294485092
CHEMBL5173449_diffdock_2,6.4751062393
CHEMBL5173449_diffdock_3,6.3819694519
CHEMBL5173449_diffdock_4,6.0956039429
CHEMBL5173449_diffdock_5,6.3118448257
CHEMBL5173449_diffdock_6,6.1885643005
CHEMBL5173449_diffdock_7,5.9796628952
CHEMBL5173449_diffdock_8,5.8914108276
CHEMBL5173449_diffdock_9,6.2735986710
CHEMBL5173449_diffdock_10,6.1693792343
CHEMBL341522_diffdock_1,5.9611320496
CHEMBL341522_diffdock_2,5.8123836517
CHEMBL341522_diffdock_3,5.7743015289
CHEMBL341522_diffdock_4,5.5034675598
CHEMBL341522_diffdock_5,5.4605169296
CHEMBL341522_diffdock_6,5.6745729446
CHEMBL341522_diffdock_7,5.8256750107
CHEMBL341522_diffdock_8,5.2215814590
CHEMBL341522_diffdock_9,6.0482654572
CHEMBL341522_diffdock_10,4.2366924286
CHEMBL1821886_diffdock_1,6.7463874817
CHEMBL1821886_diffdock_2,5.7300853729
CHEMBL1821886_diffdock_3,6.4545173645
CHEMBL1821886_diffdock_4,5.7498626709
CHEMBL1821886_diffdock_5,5.5190429688
CHEMBL1821886_diffdock_6,6.6063232422
CHEMBL1821886_diffdock_7,6.0742616653
CHEMBL1821886_diffdock_8,5.9096889496
CHEMBL1821886_diffdock_9,5.4352540970
CHEMBL1821886_diffdock_10,4.5470800400
CHEMBL4068047_diffdock_1,8.0471639633
CHEMBL4068047_diffdock_2,7.6872320175
CHEMBL4068047_diffdock_3,7.5744829178
CHEMBL4068047_diffdock_4,7.1479425430
CHEMBL4068047_diffdock_5,7.1084232330
CHEMBL4068047_diffdock_6,7.4062194824
CHEMBL4068047_diffdock_7,7.0221338272
CHEMBL4068047_diffdock_8,7.1148300171
CHEMBL4068047_diffdock_9,6.9846210480
CHEMBL4068047_diffdock_10,5.8191452026
CHEMBL141238_diffdock_1,6.3381919861
CHEMBL141238_diffdock_2,6.0479354858
CHEMBL141238_diffdock_3,6.0363483429
CHEMBL141238_diffdock_4,5.9461841583
CHEMBL141238_diffdock_5,5.4436454773
CHEMBL141238_diffdock_6,5.5294198990
CHEMBL141238_diffdock_7,5.3982143402
CHEMBL141238_diffdock_8,5.7217073441
CHEMBL141238_diffdock_9,5.5762958527
CHEMBL141238_diffdock_10,4.2792911530
CHEMBL176470_diffdock_1,6.1709012985
CHEMBL176470_diffdock_2,6.3153219223
CHEMBL176470_diffdock_3,6.1116361618
CHEMBL176470_diffdock_4,6.1977262497
CHEMBL176470_diffdock_5,6.1007957458
CHEMBL176470_diffdock_6,6.0361280441
