docking_tool,scoring_function,spearman_correlation,cost_per_pipeline,enrichment_factor,ranking_method
"['diffdock', 'gnina']","['CHEMPLP', 'RTMScore', 'rfscore_v2']",0.476186295362686,525.4799999999999,1.2464387464387463,rank_by_rank
"['diffdock', 'plants']","['CNNaffinity', 'RTMScore', 'smina_affinity', 'vina_hydrophobic']",0.4752927274071435,431.52,2.0995475113122173,Zscore
"['diffdock', 'plants']","['CHEMPLP', 'CNNaffinity', 'RTMScore', 'smina_affinity', 'vina_hydrophobic']",0.4752927274071435,432.73,2.0995475113122173,Zscore
['diffdock'],"['CNNscore', 'RTMScore', 'rfscore_v2', 'smina_affinity']",0.4743217760693303,424.67,2.462837837837838,rank_by_rank
['diffdock'],"['CNNaffinity', 'HYDE', 'RTMScore']",0.4734527071285165,434.7,2.189189189189189,Zscore
['diffdock'],"['CHEMPLP', 'CNNaffinity', 'HYDE', 'RTMScore']",0.4734075760938013,435.91,2.189189189189189,Zscore
"['diffdock', 'plants']","['CNNaffinity', 'RTMScore', 'vina_hydrophobic']",0.4728251897449299,428.42,2.0995475113122173,Zscore
"['diffdock', 'plants']","['CHEMPLP', 'CNNaffinity', 'RTMScore', 'vina_hydrophobic']",0.4728251897449299,429.63,2.0995475113122173,Zscore
['diffdock'],"['CNNaffinity', 'HYDE', 'RTMScore', 'rfscore_v2', 'smina_affinity']",0.4720623874163041,444.67,2.462837837837838,Zscore
['diffdock'],"['CHEMPLP', 'CNNaffinity', 'HYDE', 'RTMScore', 'rfscore_v2', 'smina_affinity']",0.4720595489864478,445.88,2.462837837837838,Zscore
['diffdock'],"['CNNscore', 'RTMScore', 'rfscore_v2']",0.4718739635391651,421.57,1.641891891891892,rank_by_rank
['diffdock'],"['CHEMPLP', 'HYDE', 'RTMScore']",0.4713244552606933,432.81,2.462837837837838,Zscore
['diffdock'],"['HYDE', 'RTMScore']",0.4712239748437803,431.6,2.189189189189189,Zscore
"['diffdock', 'gnina', 'smina']","['RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4708698654266743,677.3699999999999,2.243589743589744,rank_by_rank
"['diffdock', 'flexx', 'plants']","['RTMScore', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4708414149132348,438.62,1.745014245014245,Zscore
['diffdock'],"['CNNaffinity', 'RTMScore', 'rfscore_v2', 'smina_affinity']",0.4706246233490436,424.67,2.462837837837838,Zscore
['diffdock'],"['CHEMPLP', 'CNNaffinity', 'RTMScore', 'rfscore_v2', 'smina_affinity']",0.4705482695859091,425.88,2.462837837837838,Zscore
"['diffdock', 'flexx', 'plants']","['CHEMPLP', 'RTMScore', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4705043956969773,439.83,1.745014245014245,Zscore
"['diffdock', 'flexx', 'plants']","['CHEMPLP', 'RTMScore', 'rfscore_v2', 'vina_hydrophobic']",0.4698847199361624,436.73,1.745014245014245,Zscore
"['diffdock', 'flexx', 'plants']","['RTMScore', 'rfscore_v2', 'vina_hydrophobic']",0.4697643380820087,435.52,1.745014245014245,Zscore
"['diffdock', 'flexx', 'smina']","['RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4694432068066797,574.9,2.492877492877493,rank_by_rank
"['diffdock', 'smina']","['CHEMPLP', 'RTMScore', 'rfscore_v2']",0.4684690382864244,519.5799999999999,1.4957264957264955,rank_by_rank
"['diffdock', 'gnina', 'smina']","['RTMScore', 'SCORCH', 'rfscore_v2']",0.4683278166575665,670.4699999999999,1.9943019943019944,rank_by_rank
"['diffdock', 'gnina']","['CHEMPLP', 'CNNaffinity', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4682295663373031,581.78,1.4957264957264955,rank_by_rank
"['diffdock', 'plants']","['CNNaffinity', 'RTMScore', 'vina_hydrophobic']",0.4676276566840839,428.42,1.83710407239819,rank_by_rank
['diffdock'],"['CNNaffinity', 'RTMScore', 'rfscore_v2', 'smina_affinity']",0.4674552678949449,424.67,2.736486486486487,rank_by_rank
"['diffdock', 'flexx', 'gnina', 'plants']","['CHEMPLP', 'RTMScore', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4671536861495812,545.63,1.9943019943019944,Zscore
"['diffdock', 'flexx', 'gnina', 'plants']","['RTMScore', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4670211577817778,544.4200000000001,1.9943019943019944,Zscore
"['diffdock', 'flexx', 'gnina']","['CNNaffinity', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4668792010927433,577.03,1.745014245014245,rank_by_rank
"['diffdock', 'gnina']","['RTMScore', 'SCORCH', 'rfscore_v2']",0.4666352918161351,570.5699999999999,1.745014245014245,rank_by_rank
"['diffdock', 'gnina', 'smina']","['CHEMPLP', 'RTMScore', 'rfscore_v2']",0.4662685290441414,625.3799999999999,0.9971509971509972,rank_by_rank
['diffdock'],"['RTMScore', 'rfscore_v2']",0.4662460188762687,418.47,1.9155405405405408,exponential_consensus_ranking
"['diffdock', 'flexx', 'plants', 'smina']","['CHEMPLP', 'RTMScore', 'rfscore_v2', 'vina_hydrophobic']",0.4653975043190495,536.63,1.9943019943019944,Zscore
"['diffdock', 'flexx', 'plants', 'smina']","['RTMScore', 'rfscore_v2', 'vina_hydrophobic']",0.4653040099635259,535.42,1.9943019943019944,Zscore
"['diffdock', 'gnina', 'smina']","['CNNaffinity', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4652438304892182,680.4699999999999,2.7421652421652425,rank_by_rank
"['diffdock', 'plants']","['RTMScore', 'rfscore_v2', 'vina_hydrophobic']",0.4646011401879578,432.19,1.574660633484163,Zscore
"['diffdock', 'plants']","['CHEMPLP', 'RTMScore', 'rfscore_v2', 'vina_hydrophobic']",0.4644618427078781,433.4,1.574660633484163,Zscore
"['diffdock', 'gnina', 'smina']","['CNNaffinity', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4643495573689572,673.5999999999999,2.492877492877493,rank_by_rank
"['diffdock', 'flexx', 'gnina', 'smina']","['RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4640396237593085,680.6999999999999,2.492877492877493,rank_by_rank
['diffdock'],"['CNNaffinity', 'RTMScore', 'rfscore_v2']",0.4640239824475635,421.57,2.189189189189189,Zscore
"['diffdock', 'flexx', 'gnina', 'plants']","['RTMScore', 'rfscore_v2', 'vina_hydrophobic']",0.4639802455687692,541.32,1.9943019943019944,Zscore
['diffdock'],"['CHEMPLP', 'CNNaffinity', 'RTMScore', 'rfscore_v2', 'vina_intra_hydrophobic']",0.4639181657825207,429.68,2.189189189189189,Zscore
['diffdock'],"['CHEMPLP', 'CNNaffinity', 'RTMScore', 'rfscore_v2']",0.4638397683498896,422.78,2.189189189189189,Zscore
"['diffdock', 'flexx', 'gnina', 'plants']","['CHEMPLP', 'RTMScore', 'rfscore_v2', 'vina_hydrophobic']",0.4637986922075433,542.5300000000001,1.9943019943019944,Zscore
"['diffdock', 'flexx', 'plants', 'smina']","['CHEMPLP', 'RTMScore', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4637679865615279,539.7299999999999,1.9943019943019944,Zscore
['diffdock'],"['CNNaffinity', 'RTMScore', 'rfscore_v2', 'vina_intra_hydrophobic']",0.4636942136668587,428.47,2.189189189189189,Zscore
"['diffdock', 'flexx', 'gnina', 'plants', 'smina']","['CHEMPLP', 'RTMScore', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4635760584481438,645.53,1.9943019943019944,Zscore
"['diffdock', 'flexx', 'plants', 'smina']","['RTMScore', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.46347612491496,538.52,1.9943019943019944,Zscore
"['diffdock', 'plants']","['HYDE', 'RTMScore', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4634499734231395,455.29,1.83710407239819,Zscore
"['diffdock', 'plants']","['CHEMPLP', 'HYDE', 'RTMScore', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4634499734231395,456.5,1.83710407239819,Zscore
"['diffdock', 'flexx', 'gnina', 'plants', 'smina']","['RTMScore', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4630675801147553,644.32,1.9943019943019944,Zscore
"['diffdock', 'flexx', 'gnina', 'plants', 'smina']","['CHEMPLP', 'RTMScore', 'rfscore_v2', 'vina_hydrophobic']",0.4629557438949343,642.4300000000001,1.9943019943019944,Zscore
"['diffdock', 'flexx', 'gnina', 'plants', 'smina']","['RTMScore', 'rfscore_v2', 'vina_hydrophobic']",0.4629134695877535,641.22,1.9943019943019944,Zscore
"['diffdock', 'smina']","['CNNaffinity', 'RTMScore', 'vina_hydrophobic']",0.4629095753715458,521.5,2.243589743589744,rank_by_rank
"['diffdock', 'smina']","['CNNaffinity', 'RTMScore', 'SCORCH']",0.4627600776062949,560.9,2.243589743589744,rank_by_rank
"['diffdock', 'flexx', 'plants']","['CHEMPLP', 'CNNaffinity', 'RTMScore', 'vina_hydrophobic']",0.4625013643690669,432.96,2.243589743589744,Zscore
"['diffdock', 'flexx', 'plants']","['CNNaffinity', 'RTMScore', 'vina_hydrophobic']",0.4625013643690669,431.75,2.243589743589744,Zscore
"['diffdock', 'gnina', 'plants']","['CHEMPLP', 'RTMScore', 'rfscore_v2', 'vina_hydrophobic']",0.4624788238740784,539.2,2.243589743589744,Zscore
"['diffdock', 'gnina', 'plants']","['RTMScore', 'rfscore_v2', 'vina_hydrophobic']",0.4624389175324244,537.99,2.243589743589744,Zscore
"['diffdock', 'flexx', 'smina']","['CNNaffinity', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4623785027556559,571.13,1.745014245014245,rank_by_rank
"['diffdock', 'smina']","['CHEMPLP', 'CNNaffinity', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4614475554889455,575.88,1.745014245014245,rank_by_rank
"['diffdock', 'gnina', 'plants']","['CNNaffinity', 'RTMScore', 'vina_hydrophobic']",0.4612416589057163,534.22,2.492877492877493,rank_by_rank
['diffdock'],"['CNNaffinity', 'CNNscore', 'RTMScore']",0.4609690682672131,417.8,2.189189189189189,rank_by_rank
"['diffdock', 'flexx', 'gnina']","['RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4604595096940675,580.8,2.243589743589744,rank_by_rank
"['diffdock', 'plants', 'smina']","['RTMScore', 'rfscore_v2', 'vina_hydrophobic']",0.4603520104948485,532.09,1.9943019943019944,Zscore
"['diffdock', 'plants', 'smina']","['CNNaffinity', 'RTMScore', 'vina_hydrophobic']",0.4603286895451138,528.32,2.492877492877493,rank_by_rank
"['diffdock', 'flexx', 'smina']","['CNNaffinity', 'RTMScore', 'smina_affinity', 'vina_hydrophobic']",0.4601719677925208,527.9300000000001,2.243589743589744,rank_by_rank
"['diffdock', 'plants', 'smina']","['CHEMPLP', 'RTMScore', 'rfscore_v2', 'vina_hydrophobic']",0.4601219819402196,533.3000000000001,1.9943019943019944,Zscore
"['diffdock', 'plants']","['CNNaffinity', 'RTMScore', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.459178021073834,438.39,2.3619909502262444,Zscore
['diffdock'],"['CHEMPLP', 'CNNaffinity', 'RTMScore', 'vina_intra_hydrophobic']",0.4591542302646039,422.81,2.189189189189189,Zscore
['diffdock'],"['HYDE', 'RTMScore', 'rfscore_v2', 'smina_affinity']",0.4591467495529827,441.57,2.189189189189189,rank_by_rank
"['diffdock', 'plants']","['CHEMPLP', 'CNNaffinity', 'RTMScore', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4591391785072733,439.6,2.3619909502262444,Zscore
['diffdock'],"['CNNaffinity', 'CNNscore', 'RTMScore', 'rfscore_v2', 'smina_affinity']",0.4589226363235637,427.77,2.462837837837838,rank_by_rank
['diffdock'],"['CNNaffinity', 'RTMScore', 'vina_intra_hydrophobic']",0.4589106929829334,421.6,2.189189189189189,Zscore
