docking_tool,scoring_function,spearman_correlation,cost_per_pipeline,enrichment_factor,ranking_method
"['diffdock', 'smina']","['RTMScore', 'SCORCH']",0.5092086036016491,557.8,1.386666666666667,rank_by_rank
"['diffdock', 'gnina', 'smina']","['RTMScore', 'SCORCH']",0.5007951932800772,663.5999999999999,1.386666666666667,rank_by_rank
['smina'],"['RTMScore', 'SCORCH']",0.4906721798133553,150.3,2.4266666666666667,rank_by_rank
"['diffdock', 'gnina']","['CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4902288369042406,603.67,2.08,Zscore
"['diffdock', 'gnina']","['CHEMPLP', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4896705665048759,604.88,2.08,Zscore
"['diffdock', 'gnina']","['CHEMPLP', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4847480784634271,601.78,2.08,Zscore
"['diffdock', 'smina']","['CHEMPLP', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4831456598933306,598.98,2.08,Zscore
"['diffdock', 'gnina']","['CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4822788142243028,600.5699999999999,2.08,Zscore
"['diffdock', 'smina']","['CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4817933427304156,597.77,2.08,Zscore
"['diffdock', 'smina']","['CHEMPLP', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4801164399556655,595.88,2.08,Zscore
"['gnina', 'smina']","['RTMScore', 'SCORCH']",0.4780794884144717,256.1,2.4266666666666667,rank_by_rank
"['diffdock', 'smina']","['CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4754623057133669,594.67,2.08,Zscore
"['diffdock', 'gnina', 'smina']","['CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4739226517012216,703.5699999999999,2.08,Zscore
"['diffdock', 'gnina', 'smina']","['CHEMPLP', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4734210783127902,704.78,2.08,Zscore
"['gnina', 'smina']","['CHEMPLP', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4700707659523993,294.17999999999995,2.08,Zscore
"['diffdock', 'gnina', 'smina']","['CHEMPLP', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4700389507202346,701.68,2.08,Zscore
"['diffdock', 'gnina', 'smina']","['CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.469002802314896,700.4699999999999,2.08,Zscore
"['diffdock', 'gnina']","['CHEMPLP', 'CNNscore', 'RTMScore', 'SCORCH', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4665786799555231,584.88,1.7333333333333334,Zscore
['gnina'],"['CHEMPLP', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4654082016961162,194.28,2.08,Zscore
['smina'],"['CHEMPLP', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4653121763453002,188.38,2.08,Zscore
['gnina'],"['CHEMPLP', 'RTMScore', 'SCORCH', 'rfscore_v2']",0.4649974265842925,164.28,1.7333333333333334,Zscore
"['diffdock', 'gnina']","['CNNscore', 'RTMScore', 'SCORCH', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4649399973585144,583.67,1.7333333333333334,Zscore
['gnina'],"['CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4615458486966321,186.2,2.08,Zscore
['smina'],"['CHEMPLP', 'RTMScore', 'SCORCH', 'rfscore_v2']",0.4605642562216251,158.38,1.7333333333333334,Zscore
"['diffdock', 'gnina']","['RTMScore', 'SCORCH']",0.4605109779517954,563.6999999999999,1.386666666666667,rank_by_rank
"['gnina', 'smina']","['CHEMPLP', 'RTMScore', 'SCORCH', 'rfscore_v2']",0.4582169698683475,264.18,1.7333333333333334,Zscore
"['diffdock', 'flexx', 'smina']","['CNNscore', 'RTMScore', 'SCORCH']",0.4572676427606,564.23,2.773333333333334,rank_by_rank
['gnina'],"['CHEMPLP', 'HYDE', 'SCORCH', 'rfscore_v2']",0.4572033689430685,180.18,2.08,Zscore
"['diffdock', 'gnina']","['CHEMPLP', 'CNNscore', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4564895010125602,581.78,1.386666666666667,Zscore
"['diffdock', 'smina']","['CHEMPLP', 'CNNscore', 'RTMScore', 'SCORCH', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4560271421930869,578.98,1.7333333333333334,Zscore
"['diffdock', 'gnina']","['CNNscore', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4554211417134875,580.5699999999999,1.386666666666667,Zscore
"['diffdock', 'smina']","['CNNscore', 'RTMScore', 'SCORCH', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4540743017728944,577.77,1.7333333333333334,Zscore
"['diffdock', 'flexx', 'smina']","['RTMScore', 'SCORCH']",0.4539634904724421,561.13,1.04,rank_by_rank
"['gnina', 'smina']","['CHEMPLP', 'CNNaffinity', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4529942577323048,290.41,1.7333333333333334,Zscore
['gnina'],"['CHEMPLP', 'CNNscore', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4525034614948013,174.28,1.7333333333333334,Zscore
['gnina'],"['CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4524341098525455,193.07,1.7333333333333334,Zscore
"['diffdock', 'gnina']","['CHEMPLP', 'CNNaffinity', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'smina_affinity', 'vina_hydrophobic']",0.4522262147343419,601.1099999999999,1.7333333333333334,Zscore
"['diffdock', 'smina']","['CHEMPLP', 'CNNaffinity', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'smina_affinity', 'vina_hydrophobic']",0.4517990365351675,595.21,1.7333333333333334,Zscore
['smina'],"['CHEMPLP', 'CNNaffinity', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4514738563443864,184.61,1.7333333333333334,Zscore
"['diffdock', 'flexx', 'gnina']","['CNNaffinity', 'CNNscore', 'RTMScore', 'SCORCH']",0.4514414376490536,573.23,2.4266666666666667,rank_by_rank
['gnina'],"['CHEMPLP', 'CNNaffinity', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4510257380405789,190.51,1.7333333333333334,Zscore
['smina'],"['CHEMPLP', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2']",0.4500601497907078,178.38,2.08,Zscore
['smina'],"['CHEMPLP', 'CNNscore', 'RTMScore', 'SCORCH', 'rfscore_v2']",0.4495266756195084,161.48000000000002,2.08,Zscore
"['gnina', 'smina']","['CHEMPLP', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2']",0.4494946671692364,284.18,2.08,Zscore
"['gnina', 'smina']","['CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4494839976858124,286.1,2.08,Zscore
"['diffdock', 'flexx', 'smina']","['CNNaffinity', 'CNNscore', 'RTMScore', 'SCORCH']",0.4493526436428663,567.33,2.4266666666666667,rank_by_rank
"['diffdock', 'smina']","['CNNaffinity', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'smina_affinity', 'vina_hydrophobic']",0.4485485007021395,594.0,1.7333333333333334,Zscore
"['diffdock', 'gnina', 'smina']","['CHEMPLP', 'CNNscore', 'RTMScore', 'SCORCH', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4485187172021062,684.78,1.7333333333333334,Zscore
"['diffdock', 'gnina']","['CHEMPLP', 'CNNaffinity', 'HYDE', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4481715113143191,594.91,1.386666666666667,rank_by_rank
"['gnina', 'smina']","['CHEMPLP', 'CNNscore', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4477075286957182,274.18,1.7333333333333334,Zscore
['gnina'],"['CHEMPLP', 'SCORCH', 'rfscore_v2']",0.4476061686031904,160.18,2.08,Zscore
"['diffdock', 'smina']","['CHEMPLP', 'CNNscore', 'RTMScore', 'SCORCH', 'smina_affinity']",0.4475433687120637,565.2099999999999,1.7333333333333334,Zscore
"['flexx', 'plants', 'smina']","['CNNscore', 'RTMScore', 'SCORCH']",0.4471017807189441,163.55,2.773333333333334,rank_by_rank
['diffdock'],"['HYDE', 'RTMScore', 'rfscore_v2', 'smina_affinity']",0.44699737219754,441.57,1.986206896551724,Zscore
"['diffdock', 'smina']","['CNNaffinity', 'CNNscore', 'RTMScore', 'SCORCH']",0.4469010496711422,564.0,2.4266666666666667,rank_by_rank
"['diffdock', 'gnina']","['CNNaffinity', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'smina_affinity', 'vina_hydrophobic']",0.4468883154933227,599.9,1.7333333333333334,Zscore
"['diffdock', 'gnina']","['CHEMPLP', 'CNNaffinity', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4465428442095563,598.01,1.7333333333333334,Zscore
"['diffdock', 'gnina', 'smina']","['CNNscore', 'RTMScore', 'SCORCH', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4463630816487018,683.5699999999999,1.7333333333333334,Zscore
"['gnina', 'smina']","['CHEMPLP', 'CNNscore', 'RTMScore', 'SCORCH', 'rfscore_v2']",0.4462884874003277,267.28,2.08,Zscore
['gnina'],"['CHEMPLP', 'CNNscore', 'RTMScore', 'SCORCH', 'rfscore_v2']",0.4462564789500558,167.38,2.08,Zscore
['gnina'],"['CHEMPLP', 'CNNaffinity', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.446053758765,197.38,1.7333333333333334,Zscore
['diffdock'],"['CHEMPLP', 'HYDE', 'RTMScore', 'rfscore_v2', 'smina_affinity']",0.4460157513202975,442.78,1.986206896551724,Zscore
"['flexx', 'gnina', 'smina']","['CHEMPLP', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4458584319502232,300.61,2.08,Zscore
"['gnina', 'smina']","['CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4454082550178486,292.97,1.7333333333333334,Zscore
['gnina'],"['RTMScore', 'SCORCH']",0.4453401123209432,156.2,2.4266666666666667,rank_by_rank
['diffdock'],"['HYDE', 'RTMScore', 'rfscore_v2', 'smina_affinity', 'vina_intra_hydrophobic']",0.4452523912719555,448.47,1.986206896551724,Zscore
['gnina'],"['CNNscore', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.444992145164313,166.2,1.7333333333333334,Zscore
['smina'],"['CHEMPLP', 'CNNscore', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4447894249792573,168.38,1.7333333333333334,Zscore
"['diffdock', 'flexx', 'plants', 'smina']","['CNNscore', 'RTMScore', 'SCORCH']",0.4446909944323504,571.05,2.773333333333334,rank_by_rank
['diffdock'],"['CHEMPLP', 'HYDE', 'RTMScore', 'rfscore_v2', 'smina_affinity', 'vina_intra_hydrophobic']",0.4440873051660921,449.68,1.986206896551724,Zscore
"['gnina', 'smina']","['CHEMPLP', 'CNNaffinity', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4437438156037063,297.28,1.7333333333333334,Zscore
['smina'],"['CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4436211165443305,180.3,2.08,Zscore
"['diffdock', 'smina']","['CHEMPLP', 'CNNaffinity', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4435290176741863,592.11,1.7333333333333334,Zscore
"['diffdock', 'plants', 'smina']","['CNNaffinity', 'CNNscore', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4434819804743937,577.72,1.7333333333333334,rank_by_rank
"['diffdock', 'smina']","['CNNaffinity', 'CNNscore', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4434144524360959,570.9,1.7333333333333334,rank_by_rank
['smina'],"['CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.443114316081691,187.17,1.7333333333333334,Zscore
"['gnina', 'plants', 'smina']","['CHEMPLP', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4430612994617547,301.0,2.773333333333334,Zscore
"['diffdock', 'smina']","['CHEMPLP', 'CNNscore', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.442636281596567,575.88,1.386666666666667,Zscore
"['gnina', 'plants']","['CHEMPLP', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4422583754830232,201.1,2.4266666666666667,Zscore
"['diffdock', 'smina']","['CHEMPLP', 'CNNaffinity', 'HYDE', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4422246839969623,589.01,1.386666666666667,rank_by_rank
"['diffdock', 'flexx', 'gnina']","['CNNscore', 'RTMScore', 'SCORCH']",0.4417163388609665,570.13,2.773333333333334,rank_by_rank
['smina'],"['CHEMPLP', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2']",0.4416365926274685,181.48,2.08,Zscore
"['diffdock', 'flexx']","['CHEMPLP', 'HYDE', 'RTMScore', 'rfscore_v2']",0.4411705563852458,443.01,2.4266666666666667,rank_by_rank
"['diffdock', 'smina']","['CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'smina_affinity']",0.4411576587840677,590.87,2.08,Zscore
['smina'],"['CHEMPLP', 'CNNaffinity', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4409910888803171,191.48,1.7333333333333334,Zscore
"['diffdock', 'smina']","['CHEMPLP', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'smina_affinity']",0.4409770910152103,592.0799999999999,2.08,Zscore
"['flexx', 'gnina']","['CHEMPLP', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4408569183023202,200.71,2.08,Zscore
"['diffdock', 'gnina']","['CHEMPLP', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic', 'vina_intra_hydrophobic']",0.4407943248337672,611.78,1.7333333333333334,Zscore
"['diffdock', 'flexx', 'gnina', 'smina']","['RTMScore', 'SCORCH']",0.4407740853742742,666.93,1.04,rank_by_rank
"['flexx', 'gnina', 'plants', 'smina']","['CHEMPLP', 'CNNaffinity', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4406885146202666,300.56,2.08,Zscore
"['diffdock', 'gnina']","['CNNaffinity', 'CNNscore', 'RTMScore', 'SCORCH']",0.4406067259706936,569.9,2.4266666666666667,rank_by_rank
"['flexx', 'gnina']","['CHEMPLP', 'CNNaffinity', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4405276701600404,193.84,1.386666666666667,Zscore
"['diffdock', 'smina']","['CNNscore', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.440404448926176,574.67,1.386666666666667,Zscore
['smina'],"['CHEMPLP', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4403989325502858,165.28,1.386666666666667,Zscore
"['diffdock', 'gnina']","['CNNaffinity', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4401399111258743,596.8,1.7333333333333334,Zscore
"['diffdock', 'flexx', 'smina']","['HYDE', 'RTMScore', 'SCORCH']",0.439960879381526,581.13,1.7333333333333334,rank_by_rank
['diffdock'],"['CHEMPLP', 'HYDE', 'RTMScore', 'smina_affinity']",0.4397257879241668,435.91,1.986206896551724,Zscore
"['flexx', 'gnina']","['CHEMPLP', 'CNNaffinity', 'CNNscore', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4397219079439178,173.84,1.04,Zscore
"['gnina', 'smina']","['CHEMPLP', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2']",0.4396947466443024,287.28,2.08,Zscore
"['flexx', 'plants', 'smina']","['CHEMPLP', 'CNNaffinity', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4395255957127232,194.76,2.08,Zscore
"['diffdock', 'gnina']","['CNNaffinity', 'CNNscore', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4394812824724989,576.8,1.7333333333333334,rank_by_rank
"['flexx', 'gnina', 'smina']","['CHEMPLP', 'CNNscore', 'RTMScore', 'SCORCH', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4392818577575155,280.61,1.7333333333333334,Zscore
"['flexx', 'gnina']","['CHEMPLP', 'CNNscore', 'RTMScore', 'SCORCH', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4391822991417781,180.71,1.7333333333333334,Zscore
"['flexx', 'smina']","['CHEMPLP', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4390899965167866,194.81,2.08,Zscore
['diffdock'],"['HYDE', 'RTMScore', 'smina_affinity']",0.4389340480982725,434.7,1.986206896551724,Zscore
['gnina'],"['CHEMPLP', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2']",0.4388785311623673,184.28,2.08,Zscore
"['flexx', 'gnina', 'smina']","['CHEMPLP', 'CNNaffinity', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4386309938423818,293.74,1.7333333333333334,Zscore
"['diffdock', 'gnina', 'smina']","['CHEMPLP', 'CNNaffinity', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'smina_affinity', 'vina_hydrophobic']",0.438529229559476,701.01,1.7333333333333334,Zscore
"['diffdock', 'smina']","['CNNscore', 'RTMScore', 'SCORCH']",0.4384293364250077,560.9,2.773333333333334,rank_by_rank
"['diffdock', 'gnina', 'smina']","['CHEMPLP', 'CNNscore', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4383984146997058,681.68,1.386666666666667,Zscore
"['diffdock', 'gnina']","['CHEMPLP', 'CNNscore', 'RTMScore', 'SCORCH', 'smina_affinity']",0.4383927057950509,571.1099999999999,1.7333333333333334,Zscore
"['diffdock', 'flexx', 'gnina', 'smina']","['CNNscore', 'RTMScore', 'SCORCH']",0.4383893606371002,670.03,2.773333333333334,rank_by_rank
['gnina'],"['CHEMPLP', 'RTMScore', 'SCORCH', 'rfscore_v2']",0.4383429007366987,164.28,2.08,rank_by_rank
"['diffdock', 'flexx', 'gnina']","['CHEMPLP', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4381087419026716,608.21,1.7333333333333334,Zscore
"['diffdock', 'gnina', 'plants']","['CHEMPLP', 'CNNscore', 'RTMScore', 'SCORCH', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4380951252820533,591.7,2.08,Zscore
"['diffdock', 'gnina', 'plants']","['CNNscore', 'RTMScore', 'SCORCH', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4380505863720825,590.49,2.08,Zscore
"['plants', 'smina']","['CHEMPLP', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4379614777793874,195.2,2.4266666666666667,Zscore
"['flexx', 'smina']","['CHEMPLP', 'CNNscore', 'RTMScore', 'SCORCH', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4379362704187546,174.81,1.7333333333333334,Zscore
"['flexx', 'gnina', 'plants']","['CHEMPLP', 'CNNaffinity', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4378187774340846,200.66,2.08,Zscore
"['flexx', 'gnina', 'plants']","['CHEMPLP', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4375663136573036,204.43,2.4266666666666667,Zscore
['gnina'],"['CNNscore', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4374381509001288,173.07,1.7333333333333334,Zscore
"['flexx', 'gnina', 'plants', 'smina']","['CHEMPLP', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4373360536672513,304.33,2.4266666666666667,Zscore
"['flexx', 'smina']","['CHEMPLP', 'CNNaffinity', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4372083770223636,187.94,1.7333333333333334,Zscore
"['diffdock', 'smina']","['CNNaffinity', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4371618971979942,590.9,1.7333333333333334,Zscore
"['diffdock', 'gnina']","['CHEMPLP', 'CNNaffinity', 'HYDE', 'RTMScore', 'SCORCH']",0.4369502693809517,588.01,1.386666666666667,rank_by_rank
"['diffdock', 'flexx', 'gnina']","['CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4369305281577679,607.0,1.7333333333333334,Zscore
"['gnina', 'plants', 'smina']","['CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'smina_affinity', 'vina_hydrophobic']",0.4367722293253894,296.02,2.4266666666666667,Zscore
['gnina'],"['CHEMPLP', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2']",0.4367286302524335,187.38,2.08,Zscore
"['diffdock', 'gnina', 'plants']","['CNNaffinity', 'CNNscore', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4362782526768282,583.62,1.7333333333333334,rank_by_rank
