docking_tool,scoring_function,spearman_correlation,cost_per_pipeline,enrichment_factor,ranking_method
"['diffdock', 'gnina']","['CHEMPLP', 'HYDE', 'RTMScore', 'rfscore_v2']",0.4874741585907636,545.4799999999999,2.0888355342136857,rank_by_rank
"['diffdock', 'smina']","['CHEMPLP', 'HYDE', 'RTMScore', 'rfscore_v2']",0.4852038949880549,539.5799999999999,2.297719087635054,rank_by_rank
"['diffdock', 'gnina', 'smina']","['CHEMPLP', 'HYDE', 'RTMScore', 'rfscore_v2']",0.4784381886483261,645.3799999999999,2.0888355342136857,rank_by_rank
['diffdock'],"['CHEMPLP', 'RTMScore']",0.4766706450707913,412.81,2.122395833333333,Zscore
['diffdock'],['RTMScore'],0.4765831517049013,411.6,2.122395833333333,exponential_consensus_ranking
['diffdock'],['RTMScore'],0.4765831517049013,411.6,2.122395833333333,rank_by_rank
['diffdock'],['RTMScore'],0.4765831517049013,411.6,2.122395833333333,Zscore
"['diffdock', 'flexx', 'smina']","['CHEMPLP', 'HYDE', 'RTMScore', 'rfscore_v2']",0.4751513688491608,542.91,2.5066026410564226,rank_by_rank
"['diffdock', 'gnina']","['CHEMPLP', 'CNNaffinity', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4726320232128079,601.78,2.0888355342136857,rank_by_rank
"['diffdock', 'smina']","['CNNaffinity', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4697539082375004,567.8,1.879951980792317,rank_by_rank
"['diffdock', 'flexx', 'gnina', 'smina']","['CHEMPLP', 'HYDE', 'RTMScore', 'rfscore_v2']",0.4681152472797851,648.7099999999999,2.5066026410564226,rank_by_rank
"['diffdock', 'smina']","['RTMScore', 'SCORCH']",0.4667467314494791,557.8,2.0888355342136857,rank_by_rank
"['diffdock', 'flexx', 'gnina']","['CHEMPLP', 'HYDE', 'RTMScore', 'rfscore_v2']",0.4662818619205432,548.81,2.5066026410564226,rank_by_rank
"['diffdock', 'gnina']","['CNNaffinity', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4648945541824391,573.6999999999999,1.879951980792317,rank_by_rank
"['diffdock', 'gnina']","['CNNaffinity', 'HYDE', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4610388085147798,593.6999999999999,1.879951980792317,rank_by_rank
"['diffdock', 'gnina']","['CNNaffinity', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.460015595868768,603.67,2.0888355342136857,rank_by_rank
"['diffdock', 'gnina']","['CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2']",0.4596061110991926,593.67,1.879951980792317,rank_by_rank
"['diffdock', 'gnina']","['CNNaffinity', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4572258455248696,600.5699999999999,2.297719087635054,rank_by_rank
"['diffdock', 'smina']","['CHEMPLP', 'CNNaffinity', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4568804403853461,595.88,2.0888355342136857,rank_by_rank
"['diffdock', 'gnina', 'smina']","['RTMScore', 'SCORCH']",0.4565838403160941,663.5999999999999,2.0888355342136857,rank_by_rank
"['diffdock', 'smina']","['CNNaffinity', 'HYDE', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4561664246521031,587.8,1.879951980792317,rank_by_rank
"['diffdock', 'smina']","['CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2']",0.4559922033704019,587.77,1.879951980792317,rank_by_rank
"['diffdock', 'smina']","['CNNaffinity', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.455719944237532,574.67,2.297719087635054,rank_by_rank
"['diffdock', 'gnina']","['CHEMPLP', 'CNNaffinity', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4557180867210202,581.78,1.6710684273709484,rank_by_rank
"['diffdock', 'smina']","['CNNaffinity', 'CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4547475449528009,597.77,2.0888355342136857,rank_by_rank
"['diffdock', 'gnina']","['CNNaffinity', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4546097194814239,580.5699999999999,2.297719087635054,rank_by_rank
"['diffdock', 'flexx', 'gnina']","['CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2']",0.4541109453628421,597.0,1.6710684273709484,rank_by_rank
"['diffdock', 'gnina']","['CHEMPLP', 'CNNaffinity', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2']",0.4535787795048178,594.88,2.0888355342136857,rank_by_rank
"['diffdock', 'flexx', 'smina']","['CNNscore', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2']",0.4533003347294209,591.1,1.6710684273709484,rank_by_rank
"['diffdock', 'gnina', 'smina']","['CNNaffinity', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4508987497995982,673.5999999999999,1.879951980792317,rank_by_rank
"['diffdock', 'smina']","['CHEMPLP', 'CNNaffinity', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4508701822610595,575.88,1.6710684273709484,rank_by_rank
"['diffdock', 'smina']","['CHEMPLP', 'CNNaffinity', 'HYDE', 'RTMScore', 'SCORCH', 'rfscore_v2']",0.4495434646193715,588.98,2.0888355342136857,rank_by_rank
"['diffdock', 'gnina']","['CNNaffinity', 'HYDE', 'RTMScore', 'SCORCH']",0.448582069663639,586.8,1.6710684273709484,rank_by_rank
