ID,CNNaffinity
CHEMBL1934633_diffdock_4,6.9913883209
CHEMBL1934633_diffdock_5,6.7613048553
CHEMBL1934633_diffdock_6,6.8543119431
CHEMBL1934633_diffdock_7,7.0846223831
CHEMBL1934633_diffdock_8,6.4415197372
CHEMBL1934633_diffdock_9,6.5438747406
CHEMBL1934633_diffdock_10,6.1937074661
CHEMBL4551557_diffdock_1,6.8987903595
CHEMBL4551557_diffdock_2,6.5589036942
CHEMBL4551557_diffdock_3,6.9941482544
CHEMBL4551557_diffdock_4,7.0080327988
CHEMBL4551557_diffdock_5,7.1209897995
CHEMBL4551557_diffdock_6,6.9616613388
CHEMBL4551557_diffdock_7,6.5222158432
CHEMBL4551557_diffdock_8,6.6049871445
CHEMBL4551557_diffdock_9,5.8352851868
CHEMBL4551557_diffdock_10,6.3121309280
CHEMBL513362_diffdock_1,6.2082824707
CHEMBL513362_diffdock_2,6.1688976288
CHEMBL513362_diffdock_3,6.2166748047
CHEMBL513362_diffdock_4,6.1431474686
CHEMBL513362_diffdock_5,6.2496623993
CHEMBL513362_diffdock_6,6.8992919922
CHEMBL513362_diffdock_7,6.2206754684
CHEMBL513362_diffdock_8,5.9477882385
CHEMBL513362_diffdock_9,6.3916587830
CHEMBL513362_diffdock_10,6.1318693161
CHEMBL3814257_diffdock_1,6.0286188126
CHEMBL3814257_diffdock_2,5.7966842651
CHEMBL3814257_diffdock_3,6.0153532028
CHEMBL3814257_diffdock_4,5.9888086319
CHEMBL3814257_diffdock_5,6.0317640305
CHEMBL3814257_diffdock_6,6.0592708588
CHEMBL3814257_diffdock_7,5.8460016251
CHEMBL3814257_diffdock_8,5.9661741257
CHEMBL3814257_diffdock_9,5.8414945602
CHEMBL3814257_diffdock_10,5.6334037781
CHEMBL1203935_diffdock_1,5.9570217133
CHEMBL1203935_diffdock_2,6.0057401657
CHEMBL1203935_diffdock_3,6.2931032181
CHEMBL1203935_diffdock_4,5.9952259064
CHEMBL1203935_diffdock_5,6.1648721695
CHEMBL1203935_diffdock_6,6.2528190613
CHEMBL1203935_diffdock_7,5.9663276672
CHEMBL1203935_diffdock_8,6.4137258530
CHEMBL1203935_diffdock_9,6.1359109879
CHEMBL1203935_diffdock_10,4.5631914139
CHEMBL214798_diffdock_1,6.4498844147
CHEMBL214798_diffdock_2,6.3455667496
CHEMBL214798_diffdock_3,6.1523427963
CHEMBL214798_diffdock_4,6.2862596512
CHEMBL214798_diffdock_5,6.1906785965
CHEMBL214798_diffdock_6,6.1911554337
CHEMBL214798_diffdock_7,6.0165119171
CHEMBL214798_diffdock_8,6.0943622589
CHEMBL214798_diffdock_9,6.0665864944
CHEMBL214798_diffdock_10,5.9099493027
CHEMBL590878_diffdock_1,6.1144580841
CHEMBL590878_diffdock_2,6.0481338501
CHEMBL590878_diffdock_3,5.3461828232
CHEMBL590878_diffdock_4,5.3071441650
CHEMBL590878_diffdock_5,4.5624732971
CHEMBL590878_diffdock_6,4.7887811661
CHEMBL590878_diffdock_7,4.9454059601
CHEMBL590878_diffdock_8,4.7126712799
CHEMBL590878_diffdock_9,4.7606639862
CHEMBL590878_diffdock_10,4.9100780487
CHEMBL1914671_diffdock_1,6.5727882385
CHEMBL1914671_diffdock_2,6.2231903076
CHEMBL1914671_diffdock_3,6.3573837280
CHEMBL1914671_diffdock_4,6.2630071640
CHEMBL1914671_diffdock_5,6.3941650391
CHEMBL1914671_diffdock_6,6.2397480011
CHEMBL1914671_diffdock_7,6.2202968597
CHEMBL1914671_diffdock_8,6.0902185440
CHEMBL1914671_diffdock_9,6.0418033600
CHEMBL1914671_diffdock_10,6.0596351624
CHEMBL4857605_diffdock_1,5.8508272171
CHEMBL4857605_diffdock_2,6.0059041977
CHEMBL4857605_diffdock_3,6.3632574081
CHEMBL4857605_diffdock_4,5.9683189392
CHEMBL4857605_diffdock_5,6.3772306442
CHEMBL4857605_diffdock_6,6.3835926056
CHEMBL4857605_diffdock_7,6.1051874161
CHEMBL4857605_diffdock_8,6.5919036865
CHEMBL4857605_diffdock_9,5.4953718185
CHEMBL4857605_diffdock_10,5.9851131439
CHEMBL73406_diffdock_1,6.0092391968
CHEMBL73406_diffdock_2,6.0332908630
CHEMBL73406_diffdock_3,5.7295875549
CHEMBL73406_diffdock_4,5.8858242035
CHEMBL73406_diffdock_5,5.9245462418
CHEMBL73406_diffdock_6,5.8823289871
CHEMBL73406_diffdock_7,6.0151567459
CHEMBL73406_diffdock_8,5.8637552261
CHEMBL73406_diffdock_9,5.6768703461
CHEMBL73406_diffdock_10,5.1981029510
CHEMBL1958215_diffdock_1,5.6845312119
CHEMBL1958215_diffdock_2,5.7518053055
CHEMBL1958215_diffdock_3,5.6789302826
CHEMBL1958215_diffdock_4,5.8403768539
CHEMBL1958215_diffdock_5,5.5039558411
