ID,CNNscore
CHEMBL450319_diffdock_7,0.1009413153
CHEMBL450319_diffdock_8,0.1361701787
CHEMBL450319_diffdock_9,0.1872387826
CHEMBL450319_diffdock_10,0.9257580042
CHEMBL3758875_diffdock_1,0.2115342468
CHEMBL3758875_diffdock_2,0.3582417071
CHEMBL3758875_diffdock_3,0.4800946414
CHEMBL3758875_diffdock_4,0.1807344109
CHEMBL3758875_diffdock_5,0.5260479450
CHEMBL3758875_diffdock_6,0.3687659204
CHEMBL3758875_diffdock_7,0.3496923447
CHEMBL3758875_diffdock_8,0.3810183704
CHEMBL3758875_diffdock_9,0.4599034488
CHEMBL3758875_diffdock_10,0.3209113777
CHEMBL5169900_diffdock_1,0.4090263546
CHEMBL5169900_diffdock_2,0.4151282907
CHEMBL5169900_diffdock_3,0.0396169163
CHEMBL5169900_diffdock_4,0.2156258523
CHEMBL5169900_diffdock_5,0.1251806319
CHEMBL5169900_diffdock_6,0.1242541373
CHEMBL5169900_diffdock_7,0.2898039818
CHEMBL5169900_diffdock_8,0.0457035415
CHEMBL5169900_diffdock_9,0.0278139338
CHEMBL5169900_diffdock_10,0.8665344715
CHEMBL3676384_diffdock_1,0.1088637859
CHEMBL3676384_diffdock_2,0.0619435012
CHEMBL3676384_diffdock_3,0.0550303645
CHEMBL3676384_diffdock_4,0.1135971099
CHEMBL3676384_diffdock_5,0.0859950483
CHEMBL3676384_diffdock_6,0.0245923884
CHEMBL3676384_diffdock_7,0.0561736822
CHEMBL3676384_diffdock_8,0.0107618310
CHEMBL3676384_diffdock_9,0.0111400047
CHEMBL3676384_diffdock_10,0.0263964608
CHEMBL14932_diffdock_1,0.2300692052
CHEMBL14932_diffdock_2,0.7305547595
CHEMBL14932_diffdock_3,0.6357827783
CHEMBL14932_diffdock_4,0.3195318878
CHEMBL14932_diffdock_5,0.5209172368
CHEMBL14932_diffdock_6,0.2983097136
CHEMBL14932_diffdock_7,0.4854597449
CHEMBL14932_diffdock_8,0.0370919481
CHEMBL14932_diffdock_9,0.3581197262
CHEMBL14932_diffdock_10,0.0199210718
CHEMBL3436355_diffdock_1,0.1564372629
CHEMBL3436355_diffdock_2,0.4653922915
CHEMBL3436355_diffdock_3,0.2963560522
CHEMBL3436355_diffdock_4,0.2209214121
CHEMBL3436355_diffdock_5,0.2374953032
CHEMBL3436355_diffdock_6,0.1648635268
CHEMBL3436355_diffdock_7,0.2796442211
CHEMBL3436355_diffdock_8,0.2429793924
CHEMBL3436355_diffdock_9,0.2375367433
CHEMBL3436355_diffdock_10,0.0005242237
CHEMBL4745521_diffdock_1,0.0670054778
CHEMBL4745521_diffdock_2,0.0161865447
CHEMBL4745521_diffdock_3,0.0110279927
CHEMBL4745521_diffdock_4,0.0139381634
CHEMBL4745521_diffdock_5,0.0130324820
CHEMBL4745521_diffdock_6,0.0116144717
CHEMBL4745521_diffdock_7,0.0136189526
CHEMBL4745521_diffdock_8,0.0504509248
CHEMBL4745521_diffdock_9,0.0297357626
CHEMBL4745521_diffdock_10,0.0002809873
CHEMBL154911_diffdock_1,0.3140051365
CHEMBL154911_diffdock_2,0.0668056607
CHEMBL154911_diffdock_3,0.1339680851
CHEMBL154911_diffdock_4,0.0904770195
CHEMBL154911_diffdock_5,0.0480462462
CHEMBL154911_diffdock_6,0.0225099921
CHEMBL154911_diffdock_7,0.0899078026
CHEMBL154911_diffdock_8,0.1225361973
CHEMBL154911_diffdock_9,0.2072963268
CHEMBL154911_diffdock_10,0.0638003051
CHEMBL57347_diffdock_1,0.0864032581
CHEMBL57347_diffdock_2,0.0774531811
CHEMBL57347_diffdock_3,0.1073621437
CHEMBL57347_diffdock_4,0.1113108024
CHEMBL57347_diffdock_5,0.1545080543
CHEMBL57347_diffdock_6,0.0374168791
CHEMBL57347_diffdock_7,0.0979202688
CHEMBL57347_diffdock_8,0.0694673583
CHEMBL57347_diffdock_9,0.0839134753
CHEMBL57347_diffdock_10,0.0541698299
CHEMBL395591_diffdock_1,0.4994390607
CHEMBL395591_diffdock_2,0.0591899492
