ID,CNNscore
CHEMBL3133894_gnina_1,0.5547710657
CHEMBL3133894_gnina_2,0.5254711509
CHEMBL3133894_gnina_3,0.4257034063
CHEMBL3133894_gnina_4,0.4160864651
CHEMBL3133894_gnina_5,0.3632603288
CHEMBL3133894_gnina_6,0.3685455322
CHEMBL3133894_gnina_7,0.3599741459
CHEMBL3133894_gnina_8,0.3581691384
CHEMBL3133894_gnina_9,0.3199234009
CHEMBL3133894_gnina_10,0.3283072412
CHEMBL460721_gnina_1,0.8529469371
CHEMBL460721_gnina_2,0.7915649414
CHEMBL460721_gnina_3,0.6950133443
CHEMBL460721_gnina_4,0.6289763451
CHEMBL460721_gnina_5,0.6165164113
CHEMBL460721_gnina_6,0.5749217272
CHEMBL460721_gnina_7,0.5458815098
CHEMBL460721_gnina_8,0.5313700438
CHEMBL460721_gnina_9,0.5217507482
CHEMBL460721_gnina_10,0.4927340746
CHEMBL4858409_gnina_1,0.8888319135
CHEMBL4858409_gnina_2,0.8457456827
CHEMBL4858409_gnina_3,0.8215481639
CHEMBL4858409_gnina_4,0.7929556966
CHEMBL4858409_gnina_5,0.6875603199
CHEMBL4858409_gnina_6,0.6663348675
CHEMBL4858409_gnina_7,0.6501593590
CHEMBL4858409_gnina_8,0.5543153286
CHEMBL4858409_gnina_9,0.5389327407
CHEMBL4858409_gnina_10,0.5267527699
CHEMBL3133894_smina_1,0.5533083677
CHEMBL3133894_smina_2,0.2651515901
CHEMBL3133894_smina_3,0.3314140439
CHEMBL3133894_smina_4,0.3250685036
CHEMBL3133894_smina_5,0.2317111194
CHEMBL3133894_smina_6,0.4115883410
CHEMBL3133894_smina_7,0.3303236365
CHEMBL3133894_smina_8,0.1938309073
CHEMBL3133894_smina_9,0.3573417664
CHEMBL3133894_smina_10,0.2653566301
CHEMBL460721_smina_1,0.6950133443
CHEMBL460721_smina_2,0.5313700438
CHEMBL460721_smina_3,0.8529469371
CHEMBL460721_smina_4,0.6289763451
CHEMBL460721_smina_5,0.4927340746
CHEMBL460721_smina_6,0.5217507482
CHEMBL460721_smina_7,0.0608947203
CHEMBL460721_smina_8,0.0533714965
CHEMBL460721_smina_9,0.1268542111
CHEMBL460721_smina_10,0.7915649414
CHEMBL4858409_smina_1,0.0218608137
CHEMBL4858409_smina_2,0.1510770321
CHEMBL4858409_smina_3,0.4831141531
CHEMBL4858409_smina_4,0.8888319135
CHEMBL4858409_smina_5,0.7929556966
CHEMBL4858409_smina_6,0.6875603199
CHEMBL4858409_smina_7,0.1611829996
CHEMBL4858409_smina_8,0.2921438515
CHEMBL4858409_smina_9,0.0417872630
CHEMBL4858409_smina_10,0.0330777578
CHEMBL460721_diffdock_1,0.4143343568
CHEMBL460721_diffdock_2,0.1603561789
CHEMBL460721_diffdock_3,0.2110543400
CHEMBL460721_diffdock_4,0.0633443296
CHEMBL460721_diffdock_5,0.1485829055
CHEMBL460721_diffdock_6,0.5065277219
CHEMBL460721_diffdock_7,0.1761304438
CHEMBL460721_diffdock_8,0.0280100647
CHEMBL460721_diffdock_9,0.1907240599
CHEMBL460721_diffdock_10,0.2696816325
CHEMBL3133894_diffdock_1,0.2007944733
CHEMBL3133894_diffdock_2,0.0288000945
CHEMBL3133894_diffdock_3,0.0336609147
CHEMBL3133894_diffdock_4,0.1148258671
CHEMBL3133894_diffdock_5,0.0932360440
CHEMBL3133894_diffdock_6,0.0332314819
CHEMBL3133894_diffdock_7,0.0497701317
CHEMBL3133894_diffdock_8,0.0495441854
CHEMBL3133894_diffdock_9,0.0187133625
CHEMBL3133894_diffdock_10,0.0190876033
CHEMBL4858409_diffdock_1,0.0691332519
CHEMBL4858409_diffdock_2,0.0647554845
CHEMBL4858409_diffdock_3,0.0791449696
CHEMBL4858409_diffdock_4,0.0339882597
CHEMBL4858409_diffdock_5,0.1130928919
CHEMBL4858409_diffdock_6,0.3281986117
CHEMBL4858409_diffdock_7,0.0270058699
CHEMBL4858409_diffdock_8,0.0449118800
CHEMBL4858409_diffdock_9,0.0371161141
CHEMBL4858409_diffdock_10,0.0785929188
CHEMBL460721_plants_01,0.4603765309
CHEMBL460721_plants_02,0.0190261863
CHEMBL460721_plants_03,0.1407233924
CHEMBL460721_plants_04,0.0105776023
CHEMBL460721_plants_05,0.0187260397
CHEMBL460721_plants_06,0.1853520274
CHEMBL460721_plants_07,0.0127383554
CHEMBL460721_plants_08,0.5127592683
CHEMBL460721_plants_09,0.0059173256
CHEMBL460721_plants_10,0.0213287994
CHEMBL4858409_plants_01,0.0108203376
CHEMBL4858409_plants_02,0.3287398815
CHEMBL4858409_plants_03,0.5203859806
CHEMBL4858409_plants_04,0.2561524212
CHEMBL4858409_plants_05,0.0172922499
CHEMBL4858409_plants_06,0.1597340107
CHEMBL4858409_plants_07,0.0086194342
CHEMBL4858409_plants_08,0.2384113818
CHEMBL4858409_plants_09,0.0058764266
CHEMBL4858409_plants_10,0.0019910471
CHEMBL3133894_plants_01,0.1925093681
CHEMBL3133894_plants_02,0.4504241347
CHEMBL3133894_plants_03,0.6473832130
CHEMBL3133894_plants_04,0.2399991155
CHEMBL3133894_plants_05,0.8054490685
CHEMBL3133894_plants_06,0.1488194317
CHEMBL3133894_plants_07,0.1843843907
CHEMBL3133894_plants_08,0.3554210365
CHEMBL3133894_plants_09,0.3711020052
CHEMBL3133894_plants_10,0.1837029159
